predictor,level,arm,epoch,AURC,K,KL,M,MAE,REL,REL_debiased,RES,SHARP,SHARP_star,UNC,UNC_debiased,VAR_debiased,acc@0.25,acc@0.5,acc@0.75,bias,brier_debiased,brier_debiased_se,brier_raw,decomp_gap,f1@0.25,f1@0.5,f1@0.75,log_score,log_score_climatology,log_score_oracle,mean_p_invalid,n_bins_used,n_points,prec@0.25,prec@0.5,prec@0.75,rec@0.25,rec@0.5,rec@0.75,risk@0.2,risk@0.5,risk@0.8,risk@1,roa_frac_pred@0.25,roa_frac_pred@0.5,roa_frac_pred@0.75,roa_frac_true@0.25,roa_frac_true@0.5,roa_frac_true@0.75,run_dir,sAUROC,skill_score
clf,high,aleat,0,0.009148160301479125,1.0,0.1775602909444295,100.0,0.12467833689806357,0.04943103215394309,0.04943103215394309,0.18814898942675123,0.046094216634911415,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.8786773950213729,0.8661805380940407,0.8665074176514961,0.12174581596860369,0.05314620694659841,0.0005535282534926213,0.05363631453492827,7.755500944266192e-05,0.8822337751092235,0.8558504875406284,0.8375707511090714,0.3363760652000359,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.7893518518518519,0.7480232943515932,0.7205348212875717,0.9998893499308437,1.0,1.0,7.679036972909821e-06,0.0013576495443397218,0.017937865907859285,0.053146206946598516,0.5757103344229318,0.5310787025396028,0.4776716117676641,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9796408895328962,0.7228888546206316
clf,high,aleat,1,0.01022085040557789,1.0,0.17126986327688065,100.0,0.1350972873869453,0.05081238437787906,0.05081238437787906,0.1860957954161363,0.058446246663141535,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.8536333920040231,0.8536333920040231,0.869851646970078,0.13197996782636026,0.056444776818573975,0.0005469152472150774,0.05693488440690384,-5.8421353132658005e-05,0.8613089990707868,0.8444373179400839,0.8409928729417548,0.3300856375326204,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.756402745229327,0.7307585568917668,0.7256149279050043,1.0,1.0,1.0,2.586096029010641e-05,0.00046708838106186327,0.022002819603736276,0.05644477681857386,0.6008549157656525,0.5436258486296203,0.47432738244908224,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9785765943295665,0.7056896878719022
clf,high,aleat,2,0.023448933159254007,1.0,0.30722283867121,100.0,0.19039417000890957,0.09276417565302282,0.09276417565302282,0.1875887605868481,0.06091664876889685,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.791174251948705,0.799195373397033,0.814583857178778,0.18917457235851043,0.09712888931746348,0.0008175409813865057,0.09761899690579336,0.00016686504132487623,0.8131818693060399,0.798251818916734,0.7877985611510792,0.46603861292708193,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6851781652767248,0.6642421694345175,0.6498907985946254,1.0,1.0,1.0,1.7182493606451387e-06,0.004055387308565055,0.05786305396063582,0.09712888931746384,0.6633140558209706,0.5980638672366105,0.5295951722403822,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9798933115604402,0.4935575026975483
clf,high,aleat,3,0.029143236620468978,1.0,0.3216535434537078,100.0,0.20842460849444547,0.09930160683076285,0.09930160683076285,0.18825546371410412,0.07393338333729285,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7546643198390747,0.7901181795323108,0.8180286648227307,0.20802125681001885,0.10287341606145184,0.0008041393225100188,0.1033635236497817,4.066373482922159e-05,0.7874616071623064,0.7910376768056078,0.7909167075954121,0.48046931770983664,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6494323081345215,0.6543112730887104,0.6541457586618877,1.0,1.0,1.0,3.474326929178124e-06,0.009154858735585202,0.07057039309158594,0.10287341606145232,0.699823987930601,0.6071410611013327,0.5261503645964295,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9804578842253938,0.46360480283152494
clf,high,aleat,4,0.039725643141164065,1.0,0.3925741357448259,100.0,0.2209511706410929,0.10443770541934712,0.10443770541934712,0.18040614259025717,0.07043529676032481,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7569776213226049,0.7811164194116168,0.7990193613276338,0.2191899125626569,0.11593328041419679,0.0009217269798296068,0.11642338800252666,0.00011510837514296102,0.7890428898832261,0.7840111157978314,0.7740111396986062,0.5513899100011286,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6515861571737563,0.6447518772445315,0.6313361929800286,1.0,1.0,1.0,0.0005725417101224602,0.025999429329205005,0.08473848199710832,0.1159332804141971,0.6975106864470707,0.6161428212220267,0.5451596680915263,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9742874638361305,0.395508993606141
clf,high,aleat,5,0.04754441924399893,1.0,0.43828058242337475,100.0,0.23903599701239547,0.11750675611613905,0.11750675611613905,0.18172875223274815,0.07451911184235825,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7344480764395273,0.7617550917777219,0.7909730952979633,0.2377468516774193,0.12770058379824578,0.0009592581676298834,0.12819069138657566,0.00013597070489099194,0.7739076448802209,0.769313174104643,0.767071086329121,0.5970963566797348,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6311984914094148,0.6251088074701274,0.6221535384755238,1.0,1.0,1.0,0.0004775882986184945,0.040853148183141855,0.09655100416738692,0.12770058379824656,0.7200402313301484,0.6355041488559215,0.5532059341211969,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9754571676396095,0.3341527631971326
clf,high,aleat,6,0.05911918830223899,1.0,0.5134395907876322,100.0,0.2609414789149599,0.14150728924017017,0.14150728924017017,0.18457058885273203,0.07288571683881447,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7196379180286648,0.7335680160925321,0.7633392004023133,0.26032806460978636,0.14896432774212617,0.001086773101074157,0.14945443533045605,0.00024101814472415883,0.7642706131078224,0.7488742475233445,0.7441557029466129,0.6722553650440094,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6184773310521814,0.5985603333964766,0.5925541125541125,1.0,1.0,1.0,0.0002647572101942107,0.05860086617055046,0.11687442234953987,0.14896432774212734,0.7348503897410108,0.6636912245411114,0.5808398290168468,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9775298644955599,0.22328087265444463
clf,high,aleat,7,0.042325599242445354,1.0,0.4960910699125635,100.0,0.23722936641949868,0.1369959575293591,0.1369959575293591,0.1893944895519998,0.05673257287811662,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7534322353532814,0.749057078199648,0.7663816947447825,0.23613848197890994,0.139775687787215,0.0010850376957446714,0.14026579537554484,0.0003876105998917856,0.7866219862477152,0.7599692144884314,0.7466113944418686,0.6549068441685518,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6482909508267278,0.6128631832111409,0.595674311327734,1.0,1.0,1.0,1.653325903938408e-05,0.01413825069298351,0.09952571454354339,0.13977568778721605,0.7010560724163942,0.6482021624339954,0.5777973346743777,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9807861470448194,0.27119162092181537
clf,high,aleat,8,0.051148084413646995,1.0,0.556396978540834,100.0,0.25909261437789266,0.1552370732244999,0.1552370732244999,0.18883771998081653,0.059149544614968616,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7263012320844858,0.7207694241890873,0.747975861201911,0.2583092612947647,0.1586047841721303,0.0011690885365386859,0.15909489176046018,0.0004188217184830645,0.7685765918996492,0.7399480130201624,0.731998181769566,0.7152127527969383,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6241367403314917,0.5872360987213797,0.5772848045211083,1.0,1.0,1.0,5.053456978657947e-05,0.02330737673065514,0.11943563306913754,0.1586047841721327,0.7281870756851898,0.6764898164445562,0.5962031682172492,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.980462511198175,0.17301429528641799
clf,high,aleat,9,0.05180537941298662,1.0,0.5360276291588633,100.0,0.2574540264222549,0.14964351587345565,0.14964351587345565,0.1864991474158245,0.06175772722205835,0.04901075883298664,0.19227671679829375,0.19178660920996388,0.19178660920996385,0.7324867990947951,0.7221020870002515,0.7510183555443802,0.2567057067811503,0.1553393092472334,0.001147353717912148,0.15582941683556328,0.00040833157963837685,0.7726174955651969,0.7408675263774912,0.7343741617039541,0.6948434034150419,0.6746273025481904,0.15926042708429025,0.0,20,39770,0.6294838754614474,0.5883952180551935,0.5802458668927511,1.0,1.0,1.0,0.00013119335665770802,0.03002155088058743,0.114095340610073,0.1553393092472355,0.7220015086748806,0.675157153633392,0.59316067387478,0.45448830776967564,0.39725924063364343,0.3441790294191602,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/clf_high_aleat,0.9788519660065964,0.19004090073269253
