system,arm,label,epoch,train_traj,full_mean,full_median,full_n,certain_mean,certain_median,certain_n,certain_success_mean,certain_success_median,certain_success_n,certain_failure_mean,certain_failure_median,certain_failure_n,uncertain_mean,uncertain_median,uncertain_n,invalid_mean,invalid_median,invalid_n
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),0,100,0.30222731828689575,0.015621199272572994,48770,0.14979135990142822,0.008718224242329597,33732,0.08625571429729462,0.013067424297332764,8817,0.17227555811405182,0.007801653351634741,24915,0.9105262756347656,0.8195595145225525,61,0.6430742144584656,0.44162070751190186,14977
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),1,150,0.291167676448822,0.01136329397559166,48770,0.09021078050136566,0.007475113496184349,35254,0.05402221158146858,0.008441725745797157,13803,0.11349689960479736,0.006893087178468704,21451,0.9166457653045654,0.9037981033325195,1574,0.8019727468490601,0.5694218873977661,11942
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),2,200,0.26696160435676575,0.008855149149894714,48770,0.18443581461906433,0.007616746239364147,43771,0.057223133742809296,0.005273147020488977,16270,0.25969672203063965,0.009192130528390408,27501,0.9657244086265564,0.9440552592277527,1235,0.9973716139793396,0.8772614002227783,3764
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),3,250,0.21068646013736725,0.008255901746451855,48770,0.18837006390094757,0.007959552109241486,47314,0.026460256427526474,0.005256302189081907,17434,0.2828390896320343,0.010187450796365738,29880,0.6497498750686646,0.7681060433387756,307,1.0123276710510254,0.8953886032104492,1149
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),4,300,0.20051908493041992,0.00878818053752184,48770,0.16972464323043823,0.008304823189973831,46501,0.008691813796758652,0.005525016225874424,16830,0.2610657811164856,0.011548111215233803,29671,0.2714260220527649,0.07261379063129425,1025,1.2931979894638062,1.2929095029830933,1244
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),5,350,0.1859326809644699,0.007620648946613073,48770,0.14614848792552948,0.007168241310864687,47257,0.012275236658751965,0.0032840436324477196,17902,0.22779043018817902,0.014148028567433357,29355,0.5607491731643677,0.5550854206085205,237,1.5897334814071655,1.7349741458892822,1276
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),6,400,0.19532941281795502,0.009094552136957645,48770,0.14930343627929688,0.008405953645706177,46692,0.02085609920322895,0.003345753299072385,18269,0.23186348378658295,0.015760891139507294,28423,1.0495975017547607,1.138444423675537,156,1.2441219091415405,1.2281508445739746,1922
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),7,450,0.16864895820617676,0.009134242311120033,48770,0.15583910048007965,0.008684439584612846,47485,0.004712635651230812,0.0032692383974790573,17718,0.24579304456710815,0.017692891880869865,29767,0.14740049839019775,0.15037378668785095,152,0.7083714604377747,0.5090165734291077,1133
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),8,500,0.26080605387687683,0.016373462975025177,48770,0.15711256861686707,0.01284644566476345,42994,0.012931102886795998,0.00547116668894887,16763,0.24925217032432556,0.022947130724787712,26231,0.18257570266723633,0.1550935059785843,837,1.1767154932022095,0.7516012787818909,4939
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),9,550,0.248406782746315,0.013787126168608665,48770,0.1604631394147873,0.009992748498916626,42746,0.006796092726290226,0.00363932061009109,17535,0.267343133687973,0.026892121881246567,25211,0.24944308400154114,0.06158219277858734,232,0.8974051475524902,0.2675999701023102,5792
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),10,600,0.26627418398857117,0.016329539939761162,48770,0.2087392359972,0.012805717997252941,44232,0.005530038382858038,0.004465868696570396,17275,0.3389629125595093,0.0336834117770195,26957,0.1741461157798767,0.18635164201259613,279,0.8698405027389526,0.26740849018096924,4259
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),11,650,0.2261480689048767,0.014261089265346527,48770,0.16609753668308258,0.011190525256097317,44050,0.005007823463529348,0.004266940988600254,17936,0.27673953771591187,0.032868050038814545,26114,0.16069437563419342,0.1383114904165268,211,0.8158656358718872,0.24153555929660797,4509
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),12,700,0.27908855676651,0.011012529954314232,48770,0.1943129301071167,0.008908113464713097,43851,0.03126157447695732,0.002427914412692189,18579,0.31418201327323914,0.023018501698970795,25272,0.9530346989631653,0.47816091775894165,293,1.0400115251541138,0.9782801270484924,4626
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),13,750,0.24994705617427826,0.009297560900449753,48770,0.21626554429531097,0.008774344809353352,47507,0.0037677909713238478,0.0029083131812512875,18205,0.348287969827652,0.026039492338895798,29302,0.18864327669143677,0.1900799572467804,181,1.7390446662902832,1.7216030359268188,1082
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),14,800,0.17736132442951202,0.014095760881900787,48770,0.13513068854808807,0.012528262101113796,43442,0.016534779220819473,0.008700471371412277,18505,0.22313717007637024,0.018200332298874855,24937,0.7116879820823669,0.6213997006416321,186,0.5148173570632935,0.21544258296489716,5142
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),15,850,0.3183504045009613,0.009130592457950115,48770,0.149318665266037,0.007249556016176939,43345,0.007309203967452049,0.0035050041042268276,18458,0.25464314222335815,0.018083898350596428,24887,0.5619678497314453,0.42754408717155457,201,1.711480736732483,1.6214491128921509,5224
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),16,900,0.3057556450366974,0.019792020320892334,48770,0.14548172056674957,0.015778517350554466,40399,0.015443582087755203,0.009288838133215904,17594,0.24580581486225128,0.02672516740858555,22805,0.4411105215549469,0.0554821640253067,1518,1.2206013202667236,0.8312533497810364,6853
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),17,950,0.18365532159805298,0.009927606210112572,48770,0.09551999717950821,0.008258802816271782,44002,0.04809097573161125,0.003673496190458536,18868,0.13112476468086243,0.013012902811169624,25134,1.0724962949752808,1.0677095651626587,120,0.9950730800628662,0.6052766442298889,4648
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),18,1000,0.14015686511993408,0.007788375020027161,48770,0.08529098331928253,0.00661864597350359,44198,0.020465657114982605,0.0026217526756227016,18844,0.1334715038537979,0.012744840234518051,25354,1.0379525423049927,1.0390759706497192,109,0.6615780591964722,0.34621793031692505,4463
pendulum,fm_ranked,FM adaptive ranked (d2=1.0),19,1050,0.3382929861545563,0.00879334844648838,48770,0.13030368089675903,0.007057827431708574,42349,0.018909139558672905,0.003516864962875843,18799,0.21922536194324493,0.015102710574865341,23550,1.0129598379135132,1.036251425743103,93,1.720308542251587,0.9756282567977905,6328
pendulum,fm_direct,FM adaptive direct (d2=1.0),0,100,0.3023985028266907,0.015472384169697762,48770,0.1510515958070755,0.00886504352092743,33805,0.08556770533323288,0.013014541007578373,8861,0.17431382834911346,0.007903246209025383,24944,0.9535290598869324,0.8298888802528381,53,0.6431825757026672,0.43670207262039185,14912
pendulum,fm_direct,FM adaptive direct (d2=1.0),1,150,0.2623898386955261,0.012300677597522736,48770,0.14063644409179688,0.00929173082113266,38746,0.06819910556077957,0.009937395341694355,14525,0.18407614529132843,0.008983065374195576,24221,1.04866361618042,1.0325055122375488,703,0.7091986536979675,0.45341700315475464,9321
pendulum,fm_direct,FM adaptive direct (d2=1.0),2,200,0.24415530264377594,0.009687653742730618,48770,0.2072117030620575,0.008184636011719704,43044,0.04670269042253494,0.006021295208483934,14076,0.28520551323890686,0.009350075386464596,28968,0.6049529910087585,0.7490850687026978,1194,0.49998244643211365,0.11719592660665512,4532
pendulum,fm_direct,FM adaptive direct (d2=1.0),3,250,0.1749391108751297,0.008103922940790653,48770,0.09069688618183136,0.007166564464569092,44118,0.02635974995791912,0.004430195316672325,17201,0.13181079924106598,0.009319215081632137,26917,0.8926520347595215,0.8662334680557251,1427,1.0097988843917847,0.8723241686820984,3225
pendulum,fm_direct,FM adaptive direct (d2=1.0),4,300,0.1572895646095276,0.008107000961899757,48770,0.14462926983833313,0.00791278388351202,47907,0.014187033288180828,0.003832860616967082,17536,0.21994569897651672,0.011082950979471207,30371,0.5432426929473877,0.5438326597213745,308,1.0359251499176025,0.96823650598526,555
pendulum,fm_direct,FM adaptive direct (d2=1.0),5,350,0.17411750555038452,0.007349785417318344,48770,0.1251160204410553,0.006944237742573023,46857,0.02087775617837906,0.004022454842925072,17841,0.1892087161540985,0.00994165800511837,29016,0.654356062412262,0.5903623104095459,317,1.5173680782318115,1.4041686058044434,1596
pendulum,fm_direct,FM adaptive direct (d2=1.0),6,400,0.15134821832180023,0.007509469985961914,48770,0.14283046126365662,0.007241386454552412,47777,0.004855338949710131,0.003290154505521059,17206,0.22048574686050415,0.01316411979496479,30571,0.1293344348669052,0.07356316596269608,382,0.8311560153961182,0.7453272342681885,611
pendulum,fm_direct,FM adaptive direct (d2=1.0),7,450,0.1675635725259781,0.008190294727683067,48770,0.1377142071723938,0.00780400400981307,47275,0.008630316704511642,0.0038099107332527637,17915,0.2164791226387024,0.014624904841184616,29360,0.5822319388389587,0.42036792635917664,285,1.2361150979995728,1.148972988128662,1210
