system,arm,selection_rule,d2_ratio,epoch,train_traj,n_total,f1,sep_pct,tpr,fpr,tnr,fnr,invalid_pct,uncertain_pct,full_mean_of_means,full_mean_of_medians,full_mean_of_p90s,full_median_of_means,full_median_of_medians,full_median_of_p90s,full_p90_of_means,full_p90_of_medians,full_p90_of_p90s,certain_success_mean_of_means,certain_success_mean_of_medians,certain_success_mean_of_p90s,certain_success_median_of_means,certain_success_median_of_medians,certain_success_median_of_p90s,certain_success_p90_of_means,certain_success_p90_of_medians,certain_success_p90_of_p90s,certain_failure_mean_of_means,certain_failure_mean_of_medians,certain_failure_mean_of_p90s,certain_failure_median_of_means,certain_failure_median_of_medians,certain_failure_median_of_p90s,certain_failure_p90_of_means,certain_failure_p90_of_medians,certain_failure_p90_of_p90s
cartpole,dispersion,greedy,0.5,0,300,115242,0.9615332945233084,0.2884972492667604,0.979740828618361,0.008967157959936372,0.9910328420400636,0.020259171381638984,0.26755870255635966,0.020938546710400723,2.5337374210357666,2.3366141319274902,4.254415512084961,1.9662556648254395,1.696683645248413,3.541887044906616,4.872842788696289,4.868473052978516,7.553746223449707,0.5500950813293457,0.41449257731437683,0.938696563243866,0.150734081864357,0.07876843214035034,0.19437187910079956,0.8031007647514343,0.1624213457107544,3.3934288024902344,2.400800943374634,2.204921007156372,4.04412317276001,1.8607375621795654,1.654611349105835,3.193577527999878,3.9281086921691895,3.5563528537750244,7.028305530548096
cartpole,dispersion,greedy,0.5,1,400,115242,0.9882015453662149,0.23481890283056525,0.9939501116902457,0.002453607448635665,0.9975463925513643,0.006049888309754281,0.22009336873709237,0.014725534093472865,2.2656660079956055,2.057312250137329,3.9853696823120117,1.7486767768859863,1.4862308502197266,3.172732353210449,4.369560718536377,4.080117225646973,7.105114459991455,0.34094977378845215,0.1970071792602539,0.7061357498168945,0.13835367560386658,0.07251963019371033,0.16483119130134583,0.6347962021827698,0.1413615345954895,2.405251979827881,2.414135694503784,2.2127134799957275,4.238971710205078,1.7821872234344482,1.5554652214050293,3.110713481903076,4.223413944244385,3.6758902072906494,8.16561508178711
cartpole,dispersion,greedy,0.5,2,500,115242,0.9171688438073137,0.21368945349785667,0.9365540437242011,0.017837335878453323,0.9821626641215466,0.06344595627579881,0.12515402370663473,0.08853542979122195,2.7787890434265137,2.6065657138824463,4.516712188720703,2.24858021736145,1.9762816429138184,3.9232265949249268,5.773184776306152,5.782044887542725,7.6501641273498535,0.7438986301422119,0.6803553104400635,0.7796374559402466,0.13144877552986145,0.07296539843082428,0.14470507204532623,4.993800640106201,5.021505355834961,5.051878929138184,2.940105438232422,2.7699313163757324,4.919644355773926,2.29194712638855,2.0773468017578125,3.8477084636688232,5.534319877624512,4.939972877502441,8.761436462402344
cartpole,dispersion,greedy,0.5,3,600,115242,0.9771902540176258,0.16332587077627947,0.9877729257641922,0.004566317523831941,0.995433682476168,0.01222707423580786,0.1498672359035768,0.01345863487270266,1.7304636240005493,1.5514678955078125,3.105829954147339,1.142110824584961,0.963764488697052,2.0717520713806152,3.983503818511963,3.1053476333618164,6.5195088386535645,0.3776085674762726,0.3076633810997009,0.5519406199455261,0.1072678342461586,0.07653741538524628,0.14804509282112122,0.43269795179367065,0.15256285667419434,0.7639421224594116,1.796270489692688,1.6174325942993164,3.244830846786499,1.16016685962677,1.0090948343276978,2.0718510150909424,3.735605239868164,2.701874256134033,6.173332691192627
cartpole,dispersion,greedy,0.5,4,700,115242,0.9810491395397056,0.16613734575935857,0.9942007060010086,0.004608185467588304,0.9953918145324117,0.005799293998991427,0.1528435813331945,0.013293764426164072,1.858993649482727,1.6519008874893188,3.371558427810669,1.301748514175415,1.0714294910430908,2.377473831176758,3.964107036590576,3.1959009170532227,6.797963619232178,0.3799186944961548,0.29388871788978577,0.6072497963905334,0.11129717528820038,0.0727057009935379,0.14823879301548004,0.4949435889720917,0.14502957463264465,1.1994879245758057,1.931134581565857,1.7305983304977417,3.480592966079712,1.3148810863494873,1.1205856800079346,2.339834690093994,3.7790064811706543,2.828695774078369,6.7291412353515625
cartpole,dispersion,greedy,0.5,5,800,115242,0.9849666829189014,0.16356016035820273,0.9932803408997788,0.0034208338282456347,0.9965791661717543,0.006719659100221257,0.14921643150934555,0.014343728848857188,1.5214213132858276,1.2866449356079102,2.863189697265625,1.002314805984497,0.8328255414962769,1.8042900562286377,3.389624834060669,2.3653011322021484,6.388976573944092,0.32179635763168335,0.2339051216840744,0.5560927987098694,0.10718350112438202,0.07364501804113388,0.1432495415210724,0.49595773220062256,0.15066789090633392,0.9741051197052002,1.5397815704345703,1.2906494140625,2.9410178661346436,1.0103965997695923,0.8706116676330566,1.7897552251815796,2.7790307998657227,1.9803555011749268,5.349206447601318
cartpole,dispersion,greedy,0.5,6,900,115242,0.9870644972281065,0.2519480744867323,0.9854211663066955,0.0016645582262467542,0.9983354417737532,0.014578833693304536,0.2506464656982697,0.0013016087884625397,2.0107107162475586,1.7836724519729614,3.6179115772247314,1.4404211044311523,1.2177150249481201,2.640435218811035,4.373440742492676,3.6123368740081787,6.9565324783325195,0.2976617217063904,0.16004860401153564,0.6430783271789551,0.13583555817604065,0.08092306554317474,0.17607931792736053,0.5785873532295227,0.15260666608810425,1.6186633110046387,2.12247371673584,1.8783196210861206,3.846294641494751,1.4272741079330444,1.2373932600021362,2.5776963233947754,4.872429370880127,3.275631904602051,9.576202392578125
cartpole,dispersion,greedy,0.5,7,1000,115242,0.9679726873679078,0.15505631627358082,0.9517263427109974,0.0021682516114587386,0.9978317483885413,0.048273657289002556,0.1387688516339529,0.016287464639627915,1.6989099979400635,1.456560730934143,3.1362271308898926,1.1401393413543701,0.9328049421310425,2.0743777751922607,3.9394593238830566,2.824578046798706,6.730961799621582,0.27543729543685913,0.17613470554351807,0.5281258225440979,0.10563553869724274,0.07263284921646118,0.1370999664068222,0.4768504500389099,0.1369214653968811,0.8746023178100586,1.771727442741394,1.5127989053726196,3.275000810623169,1.1540703773498535,0.9768827557563782,2.0743613243103027,4.034118175506592,2.4909191131591797,7.238783359527588
cartpole,dispersion,greedy,0.5,8,1100,115242,0.9806619895664689,0.1887159195432221,0.9756599552572707,0.001919362480107873,0.9980806375198922,0.024340044742729307,0.18739695597091338,0.001318963572308707,1.5745042562484741,1.330308437347412,2.9647581577301025,1.0453426837921143,0.8775398135185242,1.8840337991714478,3.558816909790039,2.39499568939209,6.610696792602539,0.2781675457954407,0.17998115718364716,0.534372091293335,0.11768721789121628,0.08044135570526123,0.1548897922039032,0.4624063968658447,0.14666059613227844,0.8655255436897278,1.5741026401519775,1.3062223196029663,3.010859966278076,1.0297373533248901,0.8971431255340576,1.8314838409423828,2.8931338787078857,1.9771244525909424,6.069990158081055
cartpole,dispersion,greedy,0.5,9,1200,115242,0.9827586206896551,0.1683327259158987,0.9817206921764563,0.002382263509469198,0.9976177364905308,0.01827930782354375,0.16762117977820587,0.000711546137692855,1.4749356508255005,1.2522165775299072,2.7571020126342773,0.9374951124191284,0.7820854783058167,1.7158563137054443,3.4278035163879395,2.258349895477295,6.325835227966309,0.26171019673347473,0.18629714846611023,0.45826175808906555,0.09622690826654434,0.07335204631090164,0.13106001913547516,0.3808045983314514,0.1501137614250183,0.5431116819381714,1.477378249168396,1.2252751588821411,2.8418071269989014,0.9405941963195801,0.8109433650970459,1.706954836845398,2.6222712993621826,1.8509981632232666,4.808880805969238
