system,arm,d2_ratio,target_traj,train_traj,budget_exact,epoch,n_total,f1,sep_pct,invalid_pct,uncertain_pct,tpr,fpr,tnr,fnr,auc,auprc,brier,log_score,num_mc_samples,log_score_smoothing,n_saturated,base_rate,tf_source,tf_validated,f1_win3_median,invalid_pct_win3_median,win3_n_epochs,full_mean_of_means,full_mean_of_medians,full_mean_of_p90s,full_median_of_means,full_median_of_medians,full_median_of_p90s,full_p90_of_means,full_p90_of_medians,full_p90_of_p90s,certain_success_mean_of_means,certain_success_mean_of_medians,certain_success_mean_of_p90s,certain_success_median_of_means,certain_success_median_of_medians,certain_success_median_of_p90s,certain_success_p90_of_means,certain_success_p90_of_medians,certain_success_p90_of_p90s,certain_failure_mean_of_means,certain_failure_mean_of_medians,certain_failure_mean_of_p90s,certain_failure_median_of_means,certain_failure_median_of_medians,certain_failure_median_of_p90s,certain_failure_p90_of_means,certain_failure_p90_of_medians,certain_failure_p90_of_p90s
pendulum,entropy_tiebreak,0.5,500,500,True,8,48770,0.9987699173270018,0.052511790034857495,0.05191716218987082,0.0005946278449866721,0.9981132075471698,0.0003482015390508026,0.9996517984609492,0.0018867924528301887,0.997963803368511,0.9974035730831349,0.018611720319868772,0.07478441729841452,100,kt_count,33545,0.3863030551568587,per_point,one_sided,0.9987699173270018,0.05191716218987082,3,0.10780434310436249,0.07709039002656937,0.23024894297122955,0.022045718505978584,0.01636466756463051,0.0344633087515831,0.22448475658893585,0.05330551788210869,0.6760494709014893,0.036859214305877686,0.02484673261642456,0.06749074906110764,0.02170102298259735,0.017508719116449356,0.03635597601532936,0.0693938285112381,0.04823760315775871,0.0820830687880516,0.09921637177467346,0.06622610241174698,0.21404865384101868,0.019579783082008362,0.01390024647116661,0.028961895033717155,0.18885399401187897,0.040058426558971405,0.33983394503593445
pendulum,clf_adaptive,-,500,500,True,9,48770,0.9986395283698348,0.003506253844576584,0.0,0.003506253844576584,0.9990392826643895,0.0011050463784616415,0.9988949536215384,0.0009607173356105893,0.9999592423013925,0.9999316718364203,0.0019441526944411053,0.0066631487590911465,1,clip,34027,0.3863030551568587,per_point,one_sided,0.9970699483245431,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
pendulum,partx,-,500,500,True,9,48770,0.9976612274523509,0.01168751281525528,0.0,0.01168751281525528,0.998493327593629,0.0019921663965424097,0.9980078336034576,0.001506672406371072,0.9998790294835154,0.9998086256415112,0.006443634663351291,0.025995563949508745,1,clip,4904,0.3863030551568587,per_point,one_sided,0.9965577991597778,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
pendulum,fm_nonadapt,baseline,500,500,True,9,48770,0.993234100135318,0.08006971498872258,0.0309821611646504,0.04908755382407218,0.9952249012556741,0.005340118987886173,0.9946598810121138,0.004775098744325886,0.9968255760255884,0.9940515086653221,0.020983955300389583,0.08473845413134032,20,kt_count,43005,0.3863030551568587,mc_cache_K20,one_sided,0.9896148140007692,0.0309821611646504,3,3.17803692817688,3.073979377746582,4.449067206930093,2.848586082458496,2.0996782779693604,6.280381226539612,6.284306192398072,6.283897399902344,6.297306146621704,2.9468648433685303,2.658487558364868,5.9115842900019215,2.8302183151245117,0.0453132688999176,6.280668592453003,4.711431503295898,6.2787933349609375,6.282527589797974,3.255866289138794,3.2218267917633057,3.4305901555749307,5.3561248779296875,6.2569146156311035,6.281865048408509,6.288159370422363,6.285308408737182,6.306567854881287
pendulum,fm_disp_prop_d05,campaignA,500,500,True,4,48770,0.9919181523746103,0.060282960836579864,0.05876563461144146,0.0015173262251384047,0.9840249834844754,3.4271222454504955e-05,0.9999657287775455,0.015975016515524593,0.9949304933379585,0.9937825023354733,0.03429591347139635,0.1318714068913987,100,kt_count,30021,0.3863030551568587,per_point,one_sided,0.9919181523746103,0.05876563461144146,3,0.09976884722709656,0.07013234496116638,0.2097613364458084,0.02396358735859394,0.016074925661087036,0.033551160246133804,0.1854710429906845,0.05814136192202568,0.26718348264694214,0.051045771688222885,0.03407517448067665,0.10027267038822174,0.03667549043893814,0.027544913813471794,0.057597558945417404,0.08487182855606079,0.060249678790569305,0.12017479538917542,0.07741022109985352,0.04710542783141136,0.17557395994663239,0.010108696296811104,0.00824514776468277,0.013814238831400871,0.141323521733284,0.031087704002857208,0.13185398280620575
pendulum,fm_disp_greedy_d05,campaignA,500,500,True,4,48770,0.9916969063288026,0.10652040188640557,0.10588476522452327,0.0006356366618823047,0.9835305599609613,0.0,1.0,0.016469440039038673,0.992998986311301,0.9913528636181287,0.038856901783883534,0.15274486227561881,100,kt_count,29616,0.3863030551568587,per_point,one_sided,0.9916969063288026,0.10699200328070535,3,0.13343210518360138,0.11065523326396942,0.247711181640625,0.026334861293435097,0.018620364367961884,0.03912892937660217,0.3250882029533386,0.08438091725111008,1.0476539134979248,0.05070262402296066,0.036681462079286575,0.08927608281373978,0.03843606263399124,0.029287025332450867,0.05832812935113907,0.08509762585163116,0.06478215008974075,0.1218452900648117,0.08168112486600876,0.060688555240631104,0.1639278680086136,0.008444392122328281,0.007212688215076923,0.012118150480091572,0.11768181622028351,0.025928430259227753,0.15867827832698822
pendulum,entropy,0.5,500,500,True,8,48770,0.9904235943834087,0.05706376871027271,0.049374615542341606,0.0076891531679311054,0.9938686475651456,0.007648578811369509,0.9923514211886305,0.0061313524348543804,0.9916248706287778,0.9884055388427397,0.027008607750666394,0.10588937985513935,100,kt_count,34755,0.3863030551568587,per_point,one_sided,0.9904235943834087,0.049374615542341606,3,0.11828328669071198,0.08126281201839447,0.25459474325180054,0.019966211169958115,0.013893439434468746,0.02709236368536949,0.2928253710269928,0.05394529551267624,1.309226155281067,0.06255648285150528,0.04969662055373192,0.10568971186876297,0.021445469930768013,0.016693023964762688,0.032290901988744736,0.0865904912352562,0.055088628083467484,0.09096330404281616,0.10840486735105515,0.060338012874126434,0.25883975625038147,0.01493794098496437,0.010983213782310486,0.020711207762360573,0.28991982340812683,0.038139328360557556,1.8869086503982544
pendulum,entropy_tiebreak,1.0,500,500,True,8,48770,0.9891626217297066,0.41921263071560383,0.417408242772196,0.0018043879434078327,0.9947807933194155,0.0224271118863693,0.9775728881136307,0.005219206680584551,0.9829938974734395,0.9794508048687622,0.04306292187820381,0.17449230125492898,100,kt_count,25485,0.3863030551568587,per_point,one_sided,0.9983480825958703,0.32302645068689767,3,0.41508540511131287,0.38672885298728943,0.5797437429428101,0.08067777007818222,0.06287798285484314,0.12878747284412384,2.035179376602173,2.0516302585601807,2.2925336360931396,0.0810108482837677,0.06845269352197647,0.1353728473186493,0.03488589823246002,0.029318448156118393,0.06486017256975174,0.08337977528572083,0.06284338235855103,0.12411639094352722,0.10220266133546829,0.07071323692798615,0.22056175768375397,0.061076804995536804,0.05114222317934036,0.10266327112913132,0.11556229740381241,0.07825280725955963,0.16648775339126587
pendulum,mode_sep,0.5,500,500,True,8,48770,0.9885936172794563,0.08398605700225549,0.08339142915726881,0.0005946278449866721,0.9785598462554802,0.0006780144880990615,0.999321985511901,0.02144015374451985,0.9856964640778945,0.9826774289175203,0.042530479803157675,0.17578285738869745,100,kt_count,31897,0.3863030551568587,per_point,one_sided,0.9873501997336883,0.08339142915726881,3,0.12220191955566406,0.08952893316745758,0.23533764481544495,0.02890089713037014,0.02056621015071869,0.04439174383878708,0.25218072533607483,0.07615797221660614,0.7385467886924744,0.04516422003507614,0.036582138389348984,0.0790645107626915,0.03293025866150856,0.026427188888192177,0.05523575469851494,0.07739044725894928,0.06564617156982422,0.11726564168930054,0.09496358036994934,0.05295546352863312,0.20768453180789948,0.018605664372444153,0.012997089885175228,0.027422994375228882,0.18011343479156494,0.037840116769075394,0.3010512888431549
pendulum,mode_sep,1.0,500,500,True,8,48770,0.9870816400700432,0.12589706786959196,0.12333401681361493,0.002563051055977035,0.9752562512241301,0.0004393512246915388,0.9995606487753085,0.024743748775869948,0.9589156652145877,0.9518180640201135,0.06585965757637892,0.2790598356501965,100,kt_count,34089,0.3863030551568587,per_point,one_sided,0.9870816400700432,0.12333401681361493,3,0.14111070334911346,0.09008453786373138,0.3046893775463104,0.03326436132192612,0.021509919315576553,0.041902102530002594,0.42956945300102234,0.1487240195274353,1.7565785646438599,0.06021220609545708,0.04007556661963463,0.12109020352363586,0.03723534569144249,0.026514891535043716,0.05114872008562088,0.11409642547369003,0.08754613995552063,0.14222438633441925,0.10071098804473877,0.054801058024168015,0.2253466695547104,0.01957777515053749,0.014529845677316189,0.027241704985499382,0.21974724531173706,0.05108680576086044,0.26284393668174744
