system,method,epoch,train_traj,n_total,fc_acc,fc_f1,fc_prec,fc_rec,band_f1,band_acc,uncertain_pct,lambda_star,delta_star
quad3d,adaptive,6,70000,990000,0.9337868686868687,0.83132148784787,0.9439746609084906,0.7426895207268179,0.9584312264323441,0.9848686350376055,19.566,0.41363636363636364,0.3934343434343434
quad3d,adaptive,7,80000,990000,0.9369282828282828,0.8406861306791652,0.9444339346827867,0.7574759995586126,0.9632727533646996,0.9865881428152548,19.045,0.4227272727272727,0.40555555555555556
quad3d,adaptive,8,90000,990000,0.940609090909091,0.8531136254056444,0.9340948504592627,0.7850535182256225,0.9657135076252723,0.9874274130329493,19.08,0.45909090909090905,0.43787878787878787
quad3d,adaptive,9,100000,990000,0.9398909090909091,0.8503929485471212,0.9382079815383932,0.7776097031669548,0.9670324275228908,0.988219431109173,19.393,0.46818181818181814,0.45
quad3d,random,0,10000,990000,0.8999494949494949,0.7386226296595365,0.8668012733961773,0.643469305182624,0.9342710351217047,0.9740181912612697,39.32,0.44999999999999996,0.4338383838383838
quad3d,random,1,20000,990000,0.9124232323232323,0.7701317948867509,0.90955091714105,0.6677732004266745,0.9528840639413252,0.982011265703135,34.493,0.45909090909090905,0.44191919191919193
quad3d,random,2,30000,990000,0.9165676767676768,0.7811068945047489,0.9219571092537912,0.6775894729098466,0.942715498222026,0.9785683270698856,27.187,0.37727272727272726,0.3611111111111111
quad3d,random,3,40000,990000,0.92240101010101,0.8018825835235259,0.9130904627383728,0.7148223415603046,0.9465495110241191,0.9796683872690708,25.11,0.38636363636363635,0.3732323232323232
quad3d,random,4,50000,990000,0.9260747474747475,0.814572523106859,0.9072136439568378,0.7390986500901165,0.9487353739652179,0.9810074070981865,22.569,0.44999999999999996,0.4297979797979798
quad3d,random,5,60000,990000,0.9219616161616162,0.7984535356328556,0.9228366399324609,0.7036175377937985,0.9523010420802649,0.9826170997830892,26.004,0.40454545454545454,0.3651515151515151
quad3d,random,6,70000,990000,0.9285262626262626,0.8172013009995168,0.9326202451781049,0.72720417846765,0.9481680511496718,0.9813533438851797,20.163,0.43181818181818177,0.4015151515151515
quad3d,random,7,80000,990000,0.9302343434343434,0.8219731727686074,0.9353544360231832,0.7331077353146724,0.9560964553474354,0.9840086580533312,21.694,0.40454545454545454,0.3813131313131313
quad3d,random,8,90000,990000,0.9331787878787878,0.8323428110894563,0.9273366953359273,0.7550023908485674,0.9666251272832875,0.9880331628618126,23.366,0.44999999999999996,0.4297979797979798
quad3d,random,9,100000,990000,0.9339757575757576,0.8340796247220444,0.9310860743998368,0.7553794092764924,0.9610832361573218,0.9860498411704174,20.981,0.46818181818181814,0.44191919191919193
