level,arm,train_size,n_eval,binary_outcomes,truth,KL,sAUROC,brier_debiased,skill_score,brier_raw,f1,accuracy,precision,recall,auc,brier,log_score,n_invalid,K,M
deterministic,fm,1000,115242,True,exact,0.08630517742747665,0.9887173622236526,0.022832637301320596,0.8453098962735699,0.023004490550320198,0.8186075554167966,0.9486857909983749,0.9931065828346337,0.6962663975782039,0.9887173622236526,0.023004490550320198,0.08630517745003356,0,100,1.0
deterministic,fm,2000,115242,True,exact,0.03706666419180295,0.997181653379181,0.010194541867890126,0.9309324315813422,0.010281703719130179,0.9643923730760394,0.9878005054700959,0.9885400313971743,0.9413963223202272,0.997181653379181,0.010281703719130179,0.037066664213949094,0,100,1.0
deterministic,fm,4000,115242,True,exact,0.02682602983560501,0.9977422511312074,0.007051236405638446,0.9522281864949212,0.007106613908123775,0.9837412631209761,0.9943146976890866,0.9903656998738966,0.9772048576547879,0.9977422511312074,0.007106613908123775,0.026826029857611452,0,100,1.0
deterministic,fm,6000,115242,True,exact,0.020879817177889334,0.9986440713628841,0.0055224149304432535,0.9625858840949029,0.005560733066069662,0.9861401934390268,0.9951411767790197,0.9945195836894766,0.9779008256291096,0.9986440713628841,0.005560733066069662,0.02087981719981506,0,100,1.0
deterministic,fm,8000,115242,True,exact,0.01776395370522826,0.9991609875545331,0.0048638043894981475,0.9670479412611255,0.0048992346540323835,0.9896207485942184,0.9963357790623443,0.9933857171275114,0.9858842110458517,0.9991609875545331,0.0048992346540323835,0.017763953727132808,0,100,1.0
deterministic,fm_outcome,1000,115242,True,exact,0.061312866636012896,0.9962554731945551,0.01563292986327441,0.8940875944296607,0.01563292986327441,0.986054051032671,0.9951930487053021,0.9821289388709498,0.9900106627756888,0.9962554731945551,0.01563292986327441,0.0613128666583615,0,1,1.0
deterministic,fm_outcome,2000,115242,True,exact,0.038742845877623694,0.9984876921164278,0.010750235968221574,0.9271676287297914,0.010750235968221574,0.9852186089933094,0.9949180196324926,0.985065339141257,0.9853719265483971,0.9984876921164278,0.010750235968221574,0.03874284589977603,0,1,1.0
deterministic,fm_outcome,4000,115242,True,exact,0.03127614842357565,0.9985994713049509,0.008480003321791498,0.9425483540890597,0.008480003321791498,0.9869394098919556,0.9953761226880613,0.9837581209395302,0.990141340978824,0.9985994713049509,0.008480003321791498,0.031276148445664065,0,1,1.0
deterministic,fm_outcome,6000,115242,True,exact,0.027197839772094227,0.9990490027817197,0.007102493132243211,0.9518809244484686,0.007102493132243211,0.9883212798037362,0.9959717937417365,0.994701646090535,0.9820222436646183,0.9990490027817197,0.007102493132243211,0.027197839794063556,0,1,1.0
deterministic,fm_outcome,8000,115242,True,exact,0.021647480375802986,0.9995837808303079,0.005727427091239244,0.9611969358100336,0.005727427091239244,0.9921350566075544,0.9972363290704737,0.9930304853590052,0.9912412412412412,0.9995837808303079,0.005727427091239244,0.02164748039774799,0,1,1.0
deterministic,mlp,1000,115242,True,exact,0.10650665422460616,0.9961366727668712,0.02843362377387396,0.8073634616600135,0.02843362377387396,0.9824643169239732,0.9943379012612749,0.9801232128327327,0.9848166316281243,0.9961366727668712,0.02843362377387396,0.10650665424705268,0,1,1.0
deterministic,mlp,2000,115242,True,exact,0.12648376206176967,0.9979127481008562,0.02610631659343438,0.8231308644525346,0.02610631659343438,0.974590882111868,0.9919111031131905,0.9883627608346709,0.9611975246696772,0.9979127481008562,0.02610631659343438,0.12648376208395848,0,1,1.0
deterministic,mlp,4000,115242,True,exact,0.05284091420264544,0.998747019099207,0.01388060850489405,0.9059594938126644,0.01388060850489405,0.9876627288681666,0.9957858759741247,0.9882063109340602,0.9871197444892402,0.998747019099207,0.01388060850489405,0.05284091422473856,0,1,1.0
deterministic,mlp,6000,115242,True,exact,0.06310535019025154,0.9991498921244644,0.01407367532005711,0.9046514747139693,0.01407367532005711,0.9840966592657614,0.9945575346338705,0.9925011716919231,0.9758332906661206,0.9991498921244644,0.01407367532005711,0.06310535021224521,0,1,1.0
deterministic,mlp,8000,115242,True,exact,0.04300456244953775,0.9995135062022628,0.011975356696115581,0.9188674902055237,0.011975356696115581,0.9931581402581247,0.9976555631532675,0.9949114699620957,0.9914109794587882,0.9995135062022628,0.011975356696115581,0.04300456247156941,0,1,1.0
sigma_015.0,fm,1000,130859,True,mc,0.4826501436314308,0.9517906790429173,0.13614289922900752,0.22391681842430333,0.13677298043977426,0.0007378712414683638,0.8126545504850508,1.0,0.0003690717844620779,0.9635653303313121,0.16346146997913782,0.5559817220425832,0,100,95.0
sigma_015.0,fm,2000,130859,True,mc,0.2986038577130022,0.9683825648363471,0.0891187922830176,0.491977941964883,0.08978549414979,0.6464732650739476,0.8632928496237058,1.0,0.477621349022904,0.9803704509260724,0.11091596603978328,0.371935436124155,0,100,95.0
sigma_015.0,fm,4000,130859,True,mc,0.07175807503243276,0.9821299071828319,0.01939440314368565,0.8894421216108035,0.019927464514839396,0.9475139729855612,0.9722038079087335,0.9915615670505088,0.9072133340765929,0.9943094927128249,0.0285002980307048,0.14508965344359287,0,100,95.0
sigma_015.0,fm,6000,130859,True,mc,0.07916067138218444,0.9812219248875973,0.021649737369831373,0.876585579171528,0.022217580915738555,0.9408144636494803,0.968955611157446,0.9915280536246276,0.8950361364782341,0.993259608575638,0.03166619032699318,0.15249224979335588,0,100,95.0
sigma_015.0,fm,8000,130859,True,mc,0.055273709000190616,0.9843094423245299,0.015825101961397248,0.9097889383250024,0.016352375377113412,0.9572743113056752,0.9771066581276379,0.987316203772464,0.9290066521325955,0.9966039552500489,0.0241406682001238,0.12860528741135707,0,100,95.0
sigma_015.0,fm_outcome,1000,130859,True,mc,0.0864681520447347,0.9800786843686734,0.02469697467746384,0.8592147898162528,0.024903831793455438,0.7635051313860381,0.9783428176025282,0.9766301211771494,0.6267357896685799,0.9921470190429118,0.03304786414929667,0.1597997304561915,0,1,95.0
sigma_015.0,fm_outcome,2000,130859,True,mc,0.04256343934372192,0.9853457787977253,0.011833773995662303,0.9325415205301831,0.012040631111653908,0.7747408105560791,0.9973704188625686,1.0,0.6323076923076923,0.9975962176670508,0.017658197357803645,0.1158950177552447,0,1,95.0
sigma_015.0,fm_outcome,4000,130859,True,mc,0.034076833784944686,0.9858194278202724,0.00889223750585293,0.9493097619196383,0.009099094621844536,0.9753712986891677,0.9874667258207631,0.996913089138529,0.9547407881503155,0.9984654769548625,0.014589935572710953,0.1074084121962593,0,1,95.0
sigma_015.0,fm_outcome,6000,130859,True,mc,0.032790788164068205,0.986230116610433,0.00878908404021208,0.9498977886934067,0.008995941156203686,0.9842577307306114,0.9924693277755615,0.9959359393835027,0.9728502220427937,0.9984956447217183,0.014602614110282092,0.10612236657551455,0,1,95.0
sigma_015.0,fm_outcome,8000,130859,True,mc,0.03005911410288018,0.9859790454358627,0.007811742630935867,0.955469127593138,0.008018599746927473,0.9868763871465791,0.9934388794635319,0.995005675368899,0.9788788565229876,0.9984900709440486,0.013181324091384611,0.10339069251420901,0,1,95.0
sigma_015.0,mlp,1000,130859,True,mc,0.14659974205839435,0.9772949319137428,0.03411886548744471,0.8055052608016775,0.03432572260343631,0.9301804097441647,0.9806751927778823,0.963674762407603,0.898936170212766,0.9896097805654819,0.044183972389055415,0.21993132046964478,0,1,95.0
sigma_015.0,mlp,2000,130859,True,mc,0.12919684951599103,0.9824044496763841,0.04107804400291297,0.7658344337954675,0.041284901118904566,0.5150669642857143,0.9816121626339678,0.9726027397260274,0.35028462998102466,0.994328469353279,0.05536039386364969,0.20252842792722642,0,1,95.0
sigma_015.0,mlp,4000,130859,True,mc,0.08708470254959051,0.9839685022426747,0.025152923955208194,0.8566156490008823,0.025359781071199808,0.9783152233736417,0.9889600512368906,0.9879001524390244,0.9689144992991746,0.9964173353398836,0.03606645792073413,0.1604162809607828,0,1,95.0
