system,arm,d2_ratio,train_traj,epoch,n_total,num_mc_samples,base_rate,auc,auprc,brier,log_score,log_score_excess_over_K_floor,log_score_smoothing,n_saturated,f1,sep_pct,tf_source,tf_validated,insight
pendulum,clf_adaptive,-,500,9,48770,1,0.3863030551568587,0.9999592423013925,0.9999316718364203,0.0019441526944411053,0.0066631487590911465,0.006663,clip,34027,0.9986395283698348,0.003506253844576584,per_point,one_sided,F1 and AUC agree (rank 2/18 vs 1/18)
pendulum,partx,-,500,9,48770,1,0.3863030551568587,0.9998790294835154,0.9998086256415112,0.006443634663351291,0.025995563949508745,0.025996,clip,4904,0.9976612274523509,0.01168751281525528,per_point,one_sided,F1 and AUC agree (rank 3/18 vs 2/18)
pendulum,entropy_tiebreak,0.5,500,8,48770,100,0.3863030551568587,0.997963803368511,0.9974035730831349,0.018611720319868772,0.07478441729841452,0.069822,kt_count,33545,0.9987699173270018,0.052511790034857495,per_point,one_sided,F1 and AUC agree (rank 1/18 vs 3/18)
pendulum,clf_nonadapt,-,500,9,48770,1,0.3863030551568587,0.9969706588905607,0.9923626058724397,0.017077552429948514,0.14761344728262638,0.147613,clip,14984,0.9780684265092909,0.005372155013327866,per_point,one_sided,"under-rated by F1: rank 13/18 on F1 vs 4/18 on AUC - a threshold problem, retunable"
pendulum,fm_nonadapt,baseline,500,9,48770,20,0.3863030551568587,0.9968255760255884,0.9940515086653221,0.020983955300389583,0.08473845413134032,0.060641,kt_count,43005,0.993234100135318,0.08006971498872258,mc_cache_K20,one_sided,F1 and AUC agree (rank 4/18 vs 5/18)
pendulum,fm_direct,baseline,500,8,48770,20,0.3863030551568587,0.9956582663156708,0.9947586043784457,0.01061728521632151,0.05931794317916299,0.035220,kt_count,45534,0.9740958648188942,0.059462784498667216,mc_cache_K20,one_sided,"under-rated by F1: rank 14/18 on F1 vs 6/18 on AUC - a threshold problem, retunable"
pendulum,fm_disp_prop_d05,campaignA,500,4,48770,100,0.3863030551568587,0.9949304933379585,0.9937825023354733,0.03429591347139635,0.1318714068913987,0.126909,kt_count,30021,0.9919181523746103,0.060282960836579864,per_point,one_sided,F1 and AUC agree (rank 5/18 vs 7/18)
pendulum,fm_ranked,baseline,500,8,48770,20,0.3863030551568587,0.9940955701307297,0.9929494421816517,0.013194945663317612,0.07148477580488141,0.047387,kt_count,42694,0.972698523225114,0.11843346319458684,mc_cache_K20,one_sided,"under-rated by F1: rank 15/18 on F1 vs 8/18 on AUC - a threshold problem, retunable"
pendulum,fm_disp_greedy_d05,campaignA,500,4,48770,100,0.3863030551568587,0.992998986311301,0.9913528636181287,0.038856901783883534,0.15274486227561881,0.147782,kt_count,29616,0.9916969063288026,0.10652040188640557,per_point,one_sided,"F1 flatters it: rank 6/18 on F1 vs 9/18 on AUC, abstains on 10.7%"
pendulum,entropy,0.5,500,8,48770,100,0.3863030551568587,0.9916248706287778,0.9884055388427397,0.027008607750666394,0.10588937985513935,0.100927,kt_count,34755,0.9904235943834087,0.05706376871027271,per_point,one_sided,"F1 flatters it: rank 7/18 on F1 vs 10/18 on AUC, abstains on 5.7%"
pendulum,mode_sep,0.5,500,8,48770,100,0.3863030551568587,0.9856964640778945,0.9826774289175203,0.042530479803157675,0.17578285738869745,0.170820,kt_count,31897,0.9885936172794563,0.08398605700225549,per_point,one_sided,F1 and AUC agree (rank 9/18 vs 11/18)
pendulum,fm_disp_gdiv_d05,campaignA,500,4,48770,100,0.3863030551568587,0.9843842000761862,0.9812168725849777,0.05637014353085914,0.2202808318353097,0.215318,kt_count,28995,0.9844450303190088,0.11632150912446176,per_point,one_sided,F1 and AUC agree (rank 12/18 vs 12/18)
pendulum,entropy_tiebreak,1.0,500,8,48770,100,0.3863030551568587,0.9829938974734395,0.9794508048687622,0.04306292187820381,0.17449230125492898,0.169530,kt_count,25485,0.9891626217297066,0.41921263071560383,per_point,one_sided,"F1 flatters it: rank 8/18 on F1 vs 13/18 on AUC, abstains on 41.9%"
pendulum,fm_disp_prop_d10,campaignA,500,4,48770,100,0.3863030551568587,0.975147638367798,0.970525667826223,0.046595743284806236,0.20207983313350678,0.197117,kt_count,33264,0.9650115231510581,0.04441254869797007,per_point,one_sided,F1 and AUC agree (rank 16/18 vs 14/18)
pendulum,entropy,1.0,500,8,48770,100,0.3863030551568587,0.9706950178512779,0.960462216331483,0.07718085298339142,0.27623627022924047,0.271273,kt_count,25230,0.9851680279572516,0.5425466475292188,per_point,one_sided,"F1 flatters it: rank 11/18 on F1 vs 15/18 on AUC, abstains on 54.3%"
pendulum,mode_sep,1.0,500,8,48770,100,0.3863030551568587,0.9589156652145877,0.9518180640201135,0.06585965757637892,0.2790598356501965,0.274097,kt_count,34089,0.9870816400700432,0.12589706786959196,per_point,one_sided,"F1 flatters it: rank 10/18 on F1 vs 16/18 on AUC, abstains on 12.6%"
pendulum,fm_disp_gdiv_d10,campaignA,500,4,48770,100,0.3863030551568587,0.912161336465908,0.8902200667918548,0.22326482058642608,0.8149402284028953,0.809977,kt_count,31495,0.9104351499788761,0.38886610621283574,per_point,one_sided,F1 and AUC agree (rank 17/18 vs 17/18)
pendulum,fm_disp_greedy_d10,campaignA,500,4,48770,100,0.3863030551568587,0.724043721443453,0.5905986369598815,0.3012934754972319,1.3183515071403467,1.313389,kt_count,34942,0.4289855072463768,0.6469755997539471,per_point,one_sided,F1 and AUC agree (rank 18/18 vs 18/18)
cartpole,clf_adaptive,-,1000,7,115242,1,0.18000381805244617,0.9995243108555435,0.9979567222099122,0.008102767763421309,0.03579846889217006,0.035798,clip,35786,0.9918788851012633,0.016608528140782005,per_point,one_sided,F1 and AUC agree (rank 2/12 vs 1/12)
cartpole,fm_ranked,baseline,1000,14,115242,20,0.18000381805244617,0.9989189872973763,0.9966790437007731,0.004782284236649831,0.039004275070228,0.014907,kt_count,111037,0.9923861657128639,0.01642630291039725,mc_cache_K20,two_sided,F1 and AUC agree (rank 1/12 vs 2/12)
cartpole,fm_direct,baseline,1000,14,115242,20,0.18000381805244617,0.9983580684155462,0.9956754108302678,0.004669673382968014,0.0387249831489432,0.014627,kt_count,111490,0.9896443043674021,0.00986619461654605,mc_cache_K20,two_sided,F1 and AUC agree (rank 3/12 vs 3/12)
cartpole,partx,-,1000,14,115242,1,0.18000381805244617,0.9971796503352193,0.9865094151047014,0.01552476976848174,0.056440627963266335,0.056441,clip,5336,0.9598455794580042,0.01594036896270457,per_point,one_sided,"under-rated by F1: rank 11/12 on F1 vs 4/12 on AUC - a threshold problem, retunable"
cartpole,clf_nonadapt,-,1000,7,115242,1,0.18000381805244617,0.9955085025703893,0.9823923071891457,0.040204939480177275,0.1636496894801039,0.163650,clip,0,0.983731053005279,0.08153277450929348,per_point,one_sided,"under-rated by F1: rank 8/12 on F1 vs 5/12 on AUC - a threshold problem, retunable"
cartpole,fm_nonadapt,baseline,1000,14,115242,20,0.18000381805244617,0.9844886106996863,0.9654325471572031,0.01952224449419482,0.08551652699960191,0.061419,kt_count,104131,0.9838595066490712,0.0758664375835199,mc_cache_K20,two_sided,F1 and AUC agree (rank 7/12 vs 6/12)
cartpole,fm_disp_prop_d05,campaignA,1000,7,115242,100,0.18000381805244617,0.9768569854036255,0.9505777715114572,0.04237544558407526,0.15099010952930425,0.146027,kt_count,95317,0.9849070128628887,0.12197809826278613,per_point,two_sided,F1 and AUC agree (rank 5/12 vs 7/12)
