level,arm,train_size,n_points,K,M,KL,brier_raw,brier_debiased,brier_debiased_se,sAUROC,F1,precision,recall,skill_score,MAE
tau_0.15,fm_outcome,4000,48770,,100.0,0.010871,0.002977,0.002943,0.000155,0.999719,0.98901,0.987141,0.990885,0.986591,0.00769
tau_0.15,fm_outcome,6000,48770,,100.0,0.004058,0.00092,0.000886,5.6e-05,0.999876,0.994655,0.993289,0.996024,0.995962,0.003805
tau_0.15,mlp,500,48770,,100.0,0.058322,0.012218,0.012184,0.000414,0.998078,0.973237,0.958151,0.988805,0.944487,0.018569
tau_0.15,mlp,1000,48770,,100.0,0.045073,0.008219,0.008185,0.000331,0.997388,0.980824,0.97915,0.982504,0.962707,0.012938
tau_0.15,mlp,2000,48770,,100.0,0.027938,0.006211,0.006177,0.00026,0.998929,0.982677,0.97307,0.992476,0.971856,0.011927
tau_0.15,mlp,4000,48770,,100.0,0.012626,0.002671,0.002637,0.000154,0.99972,0.991575,0.989641,0.993516,0.987984,0.00628
tau_0.15,mlp,6000,48770,,100.0,0.019004,0.005236,0.005203,0.000207,0.999861,0.984159,0.969271,0.999511,0.976297,0.010442
tau_0.30,fm,500,48770,100.0,100.0,0.076039,0.017548,0.017176,0.000338,0.99522,0.961285,0.990041,0.934152,0.915999,0.050406
tau_0.30,fm,1000,48770,100.0,100.0,0.021314,0.004693,0.004504,0.00016,0.998787,0.983908,0.984347,0.983469,0.977971,0.017293
tau_0.30,fm,2000,48770,100.0,100.0,0.010445,0.001945,0.001798,8.5e-05,0.999403,0.990387,0.991408,0.989368,0.991208,0.010152
tau_0.30,fm,4000,48770,100.0,100.0,0.006797,0.001102,0.000977,4.7e-05,0.999494,0.993793,0.993759,0.993827,0.99522,0.006817
tau_0.30,fm,6000,48770,100.0,100.0,0.003558,0.000564,0.000458,2.9e-05,0.999666,0.995957,0.994935,0.996982,0.997761,0.003871
tau_0.30,fm_outcome,500,48770,,100.0,0.071484,0.013532,0.013482,0.000435,0.992105,0.965735,0.97671,0.955004,0.934062,0.021242
tau_0.30,fm_outcome,1000,48770,,100.0,0.01722,0.003579,0.003529,0.000184,0.999045,0.987214,0.986707,0.987722,0.982739,0.008628
