predictor,level,arm,epoch,AURC,K,KL,M,MAE,REL,REL_debiased,RES,SHARP,SHARP_star,UNC,UNC_debiased,VAR_debiased,acc@0.25,acc@0.5,acc@0.75,bias,brier_debiased,brier_debiased_se,brier_raw,decomp_gap,f1@0.25,f1@0.5,f1@0.75,log_score,log_score_climatology,log_score_oracle,mean_p_invalid,n_bins_used,n_points,prec@0.25,prec@0.5,prec@0.75,rec@0.25,rec@0.5,rec@0.75,risk@0.2,risk@0.5,risk@0.8,risk@1,roa_frac_pred@0.25,roa_frac_pred@0.5,roa_frac_pred@0.75,roa_frac_true@0.25,roa_frac_true@0.5,roa_frac_true@0.75,run_dir,sAUROC,skill_score
fm,noisy_dynamics_f_0.048,dir00_s42,0,0.027741518788160925,100.0,0.2986151697556938,100.0,0.10868697979797978,0.025996169155540757,0.025699497578150696,0.05635153213242012,0.02966715773900622,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8758787878787879,0.8471909090909091,0.8783888888888889,-0.10069914141414145,0.0605887253688399,0.00014983505085073908,0.06129799282828285,-5.620504062164855e-16,0.586554961138589,0.35754963371907844,0.1310921701224749,0.423328804166989,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9825726234627047,0.9971103057864942,0.931965110312981,0.41805955903865244,0.21783023554249287,0.07050475879950938,0.02176765126007438,0.02168674665850788,0.03123198776910039,0.060588725368844396,0.0896070707070707,0.04264545454545455,0.009843434343434343,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_dir00_s42,0.875970839818638,0.3359467257846269
fm,noisy_dynamics_f_0.048,dir00_s42,1,0.01678937389787597,100.0,0.19478100341962173,100.0,0.08378467676767674,0.009272673932206432,0.008946165060662712,0.06083321367676201,0.03265088715437202,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.9092858585858585,0.9032010101010101,0.9150080808080808,-0.04916023232323231,0.03935371130700947,0.00011819619607982176,0.04009281606060608,-1.1171619185290638e-15,0.7410058456595905,0.6756406394378688,0.5686839380363129,0.31949463783110404,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9292534031565091,0.9766809210204421,0.837055592442808,0.6161804133353157,0.5164548578051911,0.43062089524430575,0.011740649933679844,0.011616754208754961,0.024015977492129015,0.03935371130704571,0.13965050505050505,0.10322323232323233,0.06693737373737374,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_dir00_s42,0.9089610922083747,0.5686827757662967
fm,noisy_dynamics_f_0.048,dir00_s42,2,0.011835280469241939,100.0,0.16056286354637717,100.0,0.07753168686868689,0.00637033882283476,0.006034634363085755,0.06483055856739299,0.033570445974900526,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.9205939393939394,0.9195818181818182,0.9263383838383838,-0.02642607070707071,0.0324448357188042,0.00010206123737039418,0.03319313606060605,1.5057399771478686e-15,0.7864152583817857,0.7486963548440044,0.6679446490936494,0.2852764979579311,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9070136186160779,0.9599103182568718,0.8077486426659912,0.6941232332049554,0.6136678809454816,0.5693946310183675,0.007437941026425627,0.0074019340883566195,0.017733078420602354,0.03244483571884182,0.16117272727272727,0.1247959595959596,0.09172020202020202,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_dir00_s42,0.9274114991716128,0.6444041484732699
fm,noisy_dynamics_f_0.048,dir00_s43,0,0.027625785744327957,100.0,0.2932075183503417,100.0,0.10624909090909089,0.02414628092900075,0.023845032391096456,0.0563670805725468,0.030124853790429548,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8795030303030303,0.852,0.8800363636363636,-0.0976247070707071,0.05871871174165902,0.00014775180360883622,0.05943255616161617,-5.551115123125783e-16,0.6041807684650607,0.3899778506836312,0.1561340931376032,0.4179211527616392,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9802220045003822,0.9979118724963777,0.9214189869171419,0.436663964815179,0.24234176429192367,0.08529352399583896,0.021897559432709882,0.02168861422304211,0.03125070126006951,0.05871871174166779,0.09381919191919191,0.047406060606060604,0.012044444444444444,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_dir00_s43,0.8758295259591077,0.35644210119312614
fm,noisy_dynamics_f_0.048,dir00_s44,0,0.02749394281742872,100.0,0.2910157459385076,100.0,0.10532803030303027,0.023269688108197153,0.02296817447999595,0.056086546842652275,0.030151362820120407,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8802777777777778,0.854159595959596,0.8821161616161616,-0.0959561717171717,0.058122387560453,0.00014726596455852614,0.058836497070707025,-6.245004513516506e-16,0.6085842324089944,0.40439908586137774,0.18628811278525761,0.41572938034981655,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9770018661464077,0.9971113552219374,0.9144363063864741,0.4419349733092245,0.25363248747774975,0.10370767152638688,0.02178420977451169,0.021594605040305657,0.0313605916539056,0.058122387560462,0.09526464646464647,0.04965454545454545,0.014756565656565657,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_dir00_s44,0.8760076880301769,0.3629778225276322
fm,noisy_dynamics_f_0.048,epi_bald,0,0.027804560989493642,100.0,0.2986073356334478,100.0,0.10866038383838382,0.026004471874089392,0.025707853912656887,0.05637134040652434,0.029661796143250693,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8759767676767677,0.8471262626262627,0.8784171717171717,-0.10070795959595964,0.060577273429241914,0.00014981928157371222,0.06128648727272727,-5.551115123125783e-16,0.5869466488594044,0.35704302240121666,0.13111866658004345,0.4233209700447426,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9828635165280876,0.9973654854864358,0.9346506123289081,0.4184048844358966,0.2174421492735025,0.07050475879950938,0.021933893480256046,0.021733957759415903,0.03126442356646778,0.060577273429247284,0.08965454545454546,0.04255858585858586,0.009815151515151515,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_epi_bald,0.8759437627431644,0.3360722392021789
fm,noisy_dynamics_f_0.048,epi_var,0,0.027840193279543145,100.0,0.29875569313798234,100.0,0.10867613131313131,0.025956948432762937,0.025660206950261152,0.056329422924793926,0.029674148250178542,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8758868686868687,0.8471949494949494,0.8783767676767676,-0.1006806161616162,0.06057154394857666,0.00014981063482560745,0.06128088131313132,-4.649058915617843e-16,0.5866541973074259,0.3575557074968892,0.13111843956789368,0.42346932754927824,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9823349819181416,0.9972047850290181,0.9305541329509373,0.41820344462083753,0.21783023554249287,0.07052804819351934,0.021906098357309448,0.021796169778597645,0.03121913221864579,0.06057154394858145,0.08965959595959595,0.04264141414141414,0.009861616161616162,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_epi_var,0.8757146086029949,0.33613503439009795
fm,noisy_dynamics_f_0.048,epi_var_anch,0,0.027804560989493642,100.0,0.2986073356334478,100.0,0.10866038383838382,0.026004471874089392,0.025707853912656887,0.05637134040652434,0.029661796143250693,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8759767676767677,0.8471262626262627,0.8784171717171717,-0.10070795959595964,0.060577273429241914,0.00014981928157371222,0.06128648727272727,-5.551115123125783e-16,0.5869466488594044,0.35704302240121666,0.13111866658004345,0.4233209700447426,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9828635165280876,0.9973654854864358,0.9346506123289081,0.4184048844358966,0.2174421492735025,0.07050475879950938,0.021933893480256046,0.021733957759415903,0.03126442356646778,0.060577273429247284,0.08965454545454546,0.04255858585858586,0.009815151515151515,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_epi_var_anch,0.8759437627431644,0.3360722392021789
fm,noisy_dynamics_f_0.048,yield_a1,0,0.027804560989493642,100.0,0.2986073356334478,100.0,0.10866038383838382,0.026004471874089392,0.025707853912656887,0.05637134040652434,0.029661796143250693,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8759767676767677,0.8471262626262627,0.8784171717171717,-0.10070795959595964,0.060577273429241914,0.00014981928157371222,0.06128648727272727,-5.551115123125783e-16,0.5869466488594044,0.35704302240121666,0.13111866658004345,0.4233209700447426,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9828635165280876,0.9973654854864358,0.9346506123289081,0.4184048844358966,0.2174421492735025,0.07050475879950938,0.021933893480256046,0.021733957759415903,0.03126442356646778,0.060577273429247284,0.08965454545454546,0.04255858585858586,0.009815151515151515,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_yield_a1,0.8759437627431644,0.3360722392021789
fm,noisy_dynamics_f_0.048,yield_mlp,0,0.027804560989493642,100.0,0.2986073356334478,100.0,0.10866038383838382,0.026004471874089392,0.025707853912656887,0.05637134040652434,0.029661796143250693,0.04125958820528517,0.09165335580516278,0.09124075992310993,0.09124075992310987,0.8759767676767677,0.8471262626262627,0.8784171717171717,-0.10070795959595964,0.060577273429241914,0.00014981928157371222,0.06128648727272727,-5.551115123125783e-16,0.5869466488594044,0.35704302240121666,0.13111866658004345,0.4233209700447426,0.4350273865600431,0.12546324158407363,0.0,101,990000,0.9828635165280876,0.9973654854864358,0.9346506123289081,0.4184048844358966,0.2174421492735025,0.07050475879950938,0.021933893480256046,0.021733957759415903,0.03126442356646778,0.060577273429247284,0.08965454545454546,0.04255858585858586,0.009815151515151515,0.21060505050505052,0.1952080808080808,0.13011515151515152,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_nd048_yield_mlp,0.8759437627431644,0.3360722392021789
