predictor,level,arm,epoch,AURC,K,KL,M,MAE,REL,REL_debiased,RES,SHARP,SHARP_star,UNC,UNC_debiased,VAR_debiased,acc@0.25,acc@0.5,acc@0.75,bias,brier_debiased,brier_debiased_se,brier_raw,decomp_gap,f1@0.25,f1@0.5,f1@0.75,log_score,log_score_climatology,log_score_oracle,mean_p_invalid,n_bins_used,n_points,prec@0.25,prec@0.5,prec@0.75,rec@0.25,rec@0.5,rec@0.75,risk@0.2,risk@0.5,risk@0.8,risk@1,roa_frac_pred@0.25,roa_frac_pred@0.5,roa_frac_pred@0.75,roa_frac_true@0.25,roa_frac_true@0.5,roa_frac_true@0.75,run_dir,sAUROC,skill_score
fm,noisy_dynamics_f_0.150,dir00_s42,0,0.0150780814095019,100.0,0.19545809906186648,50.0,0.0434348223906759,0.007492171230290743,0.007479148664457879,0.007009313618313286,0.0013022565832863694,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9307195454668614,0.953529572374523,0.9891202174289114,-0.04327037510238874,0.02342891865569305,0.00013867727210441146,0.023837245330759985,-5.48172618408671e-16,0.01755630430927469,nan,nan,0.25391717920948653,0.18267882128800783,0.059337315600780045,0.0,47,479789,1.0,nan,nan,0.00885589050899007,0.0,0.0,0.014869558152780288,0.014927459334888123,0.014913725009793998,0.023428918655693305,0.0006190221118033136,0.0,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.6786833933514448,-0.02046401564340461
fm,noisy_dynamics_f_0.150,dir00_s42,1,0.010466848066141348,100.0,0.16633309785089745,50.0,0.04257188055582766,0.009609702514691622,0.009587947758060492,0.010108178989156535,0.0021754756631129366,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9312322708523956,0.9535587518680086,0.9891202174289114,-0.042267746863725496,0.02243885237845261,0.00013306260129025064,0.022855911244317812,-3.5041414214731503e-16,0.03186619718309859,0.0012550425818018825,nan,0.2247921779985263,0.18267882128800783,0.059337315600780045,0.0,59,479789,1.0,1.0,nan,0.016191072546739422,0.0006279153211338357,0.0,0.01026658346700143,0.010248902262086901,0.010191935587466332,0.022438852378451838,0.0011317474973373712,2.917949348567808e-05,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.7596891627558633,0.022659059043629304
fm,noisy_dynamics_f_0.150,dir00_s42,2,0.004602118594270428,100.0,0.10220452479213486,50.0,0.03834919099854311,0.008585960047798566,0.008519140788802329,0.013898588993454329,0.00668192589962368,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9374120707227552,0.9537025650859023,0.9891202174289114,-0.03653414313375255,0.017579635404897043,0.00010576051105941276,0.018041758773127355,4.5102810375396984e-17,0.19443624755210986,0.0074176683497922166,nan,0.16066360493979961,0.18267882128800783,0.059337315600780045,0.0,67,479789,0.9689839572192513,1.0,nan,0.10805975489757581,0.0037226408324363114,0.0,0.004006004327573694,0.004121898568719098,0.004110975847851911,0.017579635404897927,0.0077950932597454295,0.00017299271137937719,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.871452637847441,0.23430587632054156
fm,noisy_dynamics_f_0.150,dir00_s42,3,0.013235343393339174,100.0,0.18054178630972856,50.0,0.042813590974365816,0.007926243717789478,0.007907121585166828,0.008112928758936721,0.0019122132622650565,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9312927140889016,0.9535462463708005,0.9891202174289114,-0.042535010181558974,0.022753276435778656,0.00013544314550517538,0.023167702677635363,-4.718447854656915e-16,0.03359620063909003,0.0007173601147776185,nan,0.23900086645735502,0.18267882128800783,0.059337315600780045,0.0,56,479789,0.9982578397212544,1.0,nan,0.017085606941586905,0.0003588087549336204,0.0,0.013065767293599097,0.013015435749739627,0.012932881775232732,0.022753276435777653,0.0011963592329128012,1.667399627753033e-05,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.715711051075437,0.008964084859412691
fm,noisy_dynamics_f_0.150,dir00_s42,4,0.004439637001449551,100.0,0.09927776065482749,50.0,0.03811708897035989,0.008561504040643295,0.008492465051682007,0.01410071592171443,0.006903898896128814,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9373578802348532,0.9537505028252002,0.9891202174289114,-0.036256896260647924,0.017350832739516642,0.00010456846288572894,0.017815175837711996,5.551115123125783e-17,0.19572372822392894,0.009463440764217481,nan,0.15773684080249292,0.18267882128800783,0.059337315600780045,0.0,63,479789,0.9543319415448852,1.0,nan,0.10904374273190805,0.00475421600287047,0.0,0.003802939296146242,0.003956469050447717,0.003967450045109121,0.017350832739516858,0.007986844216937029,0.0002209304506772769,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8752395027577083,0.24427154695755415
fm,noisy_dynamics_f_0.150,dir00_s42,5,0.004259706389159961,100.0,0.0940021585488746,50.0,0.03756332471148776,0.008050051356526939,0.007973936085653765,0.014257153289266657,0.007611527087317487,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9388689611475044,0.9536671328438125,0.9891202174289114,-0.03532004693729952,0.016675866405936202,0.00010043073108046117,0.017147285786043447,9.020562075079397e-17,0.2345633905736208,0.006258381761287438,nan,0.1524612386965462,0.18267882128800783,0.059337315600780045,0.0,61,479789,0.9399707174231332,0.9459459459459459,nan,0.1340012523481528,0.0031395766056691783,0.0,0.003700411447014953,0.0037692442824688757,0.0037412966812437115,0.016675866405936175,0.009964797025359065,0.00015423446556715557,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8807515716515899,0.27367020872729964
fm,noisy_dynamics_f_0.150,dir00_s42,6,0.003744970496804371,100.0,0.08821496306241666,50.0,0.03683131543240883,0.008341980950885845,0.008263903860137768,0.015063352906489797,0.0078077090748077385,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9397881151923033,0.9540735615030774,0.9891202174289114,-0.0349168071798228,0.016159634563197085,9.783077340997525e-05,0.016633015763179233,1.0755285551056204e-16,0.2522583149993529,0.02314137518287006,nan,0.1466740432100861,0.18267882128800783,0.059337315600780045,0.0,67,479789,0.9558650451157317,1.0,nan,0.14530220353639264,0.011706135629709366,0.0,0.0031679931398558687,0.003239992326574918,0.003247709138054094,0.016159634563196915,0.010625504127856204,0.000543989128554427,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8916104360147901,0.2961550714299386
fm,noisy_dynamics_f_0.150,dir00_s42,7,0.004386683221232009,100.0,0.10312844492971153,50.0,0.03931465706800283,0.010111834332012742,0.010052748763021778,0.014620533633595816,0.0059085568990964905,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9332414874038379,0.9535399936221964,0.9891202174289114,-0.037860976387537035,0.01839129873897502,0.00010840133146036368,0.01884568841720006,5.551115123125783e-17,0.08891796563886678,0.0004484103851845209,nan,0.16158752507737403,0.18267882128800783,0.059337315600780045,0.0,52,479789,0.9654107473749228,1.0,nan,0.04660524197155381,0.00022425547183351274,0.0,0.0037494209839254574,0.0038878574001976708,0.00392842149052465,0.018391298738975447,0.0033743999966652006,1.0421247673456457e-05,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8751525149212281,0.19895327480205605
fm,noisy_dynamics_f_0.150,dir00_s42,8,0.003985751609491655,100.0,0.0868825048554135,50.0,0.03576178278368199,0.007170805026475552,0.007085445776278217,0.014860752126570113,0.008535925019733525,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9432354639226826,0.9550469060357782,0.9891160489298421,-0.03337248248709329,0.015183777259257226,9.342160563863976e-05,0.015664440618688637,1.214306433183765e-16,0.33431916505756115,0.06470078057241978,nan,0.14534158500308095,0.18267882128800783,0.059337315600780045,0.0,76,479789,0.9271963123644251,0.9764397905759162,0.0,0.2039240242120643,0.0334589163975601,0.0,0.0034617951476220454,0.003538932636770143,0.0035494887006263316,0.015183777259256763,0.015373424567882965,0.0015923666445041467,4.168499069382583e-06,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8848468845510044,0.33865926369369204
fm,noisy_dynamics_f_0.150,dir00_s42,9,0.0034713387311809656,100.0,0.07783938570615424,50.0,0.034608108981239664,0.006764543954789436,0.006669089555653419,0.01538922069645558,0.00954543991360175,0.019765205461703593,0.023354387718783075,0.022959083609549003,0.022959083609549003,0.9450883617590232,0.955109433521819,0.9891202174289114,-0.03203731223517005,0.014238952468746935,8.864997947988542e-05,0.014729710977117021,8.847089727481716e-17,0.3700444742001817,0.06664933263997226,nan,0.13629846585383024,0.18267882128800783,0.059337315600780045,0.0,72,479789,0.9339770669885334,0.985897435897436,nan,0.23073023824432717,0.03449049156799426,0.0,0.0029099380638893634,0.0029909173698868204,0.00300327609315476,0.014238952468747344,0.01726800739491735,0.0016257146370592074,0.0,0.06989947664494184,0.04647042762547703,0.01087978257108854,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_dir00_s42,0.8975420793187474,0.3798118117038105
