cluster,count_label_0,count_label_1,cluster_size,failure_rate,success_rate
199,36,5,41,0.12195121951219512,0.8780487804878049
200,19,12,31,0.3870967741935484,0.6129032258064516
201,36,23,59,0.3898305084745763,0.6101694915254238
202,21,8,29,0.27586206896551724,0.7241379310344828
203,19,15,34,0.4411764705882353,0.5588235294117647
204,34,15,49,0.30612244897959184,0.6938775510204082
205,10,8,18,0.4444444444444444,0.5555555555555556
206,22,9,31,0.2903225806451613,0.7096774193548387
207,34,11,45,0.24444444444444444,0.7555555555555555
208,16,6,22,0.2727272727272727,0.7272727272727273
209,7,4,11,0.36363636363636365,0.6363636363636364
210,18,10,28,0.35714285714285715,0.6428571428571429
211,4,7,11,0.6363636363636364,0.36363636363636365
212,27,19,46,0.41304347826086957,0.5869565217391305
213,18,7,25,0.28,0.72
214,22,11,33,0.3333333333333333,0.6666666666666666
215,19,6,25,0.24,0.76
216,8,7,15,0.4666666666666667,0.5333333333333333
217,13,11,24,0.4583333333333333,0.5416666666666666
218,20,8,28,0.2857142857142857,0.7142857142857143
219,10,16,26,0.6153846153846154,0.38461538461538464
220,19,5,24,0.20833333333333334,0.7916666666666666
221,24,31,55,0.5636363636363636,0.43636363636363634
222,27,8,35,0.22857142857142856,0.7714285714285715
223,17,11,28,0.39285714285714285,0.6071428571428571
224,13,3,16,0.1875,0.8125
225,31,6,37,0.16216216216216217,0.8378378378378378
226,14,3,17,0.17647058823529413,0.8235294117647058
227,7,0,7,0.0,1.0
228,17,7,24,0.2916666666666667,0.7083333333333334
229,8,6,14,0.42857142857142855,0.5714285714285714
230,26,11,37,0.2972972972972973,0.7027027027027027
231,15,4,19,0.21052631578947367,0.7894736842105263
232,10,20,30,0.6666666666666666,0.3333333333333333
233,19,5,24,0.20833333333333334,0.7916666666666666
234,22,10,32,0.3125,0.6875
235,15,9,24,0.375,0.625
236,17,11,28,0.39285714285714285,0.6071428571428571
237,29,6,35,0.17142857142857143,0.8285714285714286
238,17,6,23,0.2608695652173913,0.7391304347826086
239,14,8,22,0.36363636363636365,0.6363636363636364
240,20,6,26,0.23076923076923078,0.7692307692307693
241,29,15,44,0.3409090909090909,0.6590909090909091
242,18,3,21,0.14285714285714285,0.8571428571428571
243,29,20,49,0.40816326530612246,0.5918367346938775
244,20,16,36,0.4444444444444444,0.5555555555555556
245,12,11,23,0.4782608695652174,0.5217391304347826
246,15,21,36,0.5833333333333334,0.4166666666666667
247,25,19,44,0.4318181818181818,0.5681818181818182
248,13,7,20,0.35,0.65
249,9,8,17,0.47058823529411764,0.5294117647058824
250,8,10,18,0.5555555555555556,0.4444444444444444
251,22,17,39,0.4358974358974359,0.5641025641025641
252,9,13,22,0.5909090909090909,0.4090909090909091
253,24,12,36,0.3333333333333333,0.6666666666666666
254,11,8,19,0.42105263157894735,0.5789473684210527
255,35,17,52,0.3269230769230769,0.6730769230769231
256,24,23,47,0.48936170212765956,0.5106382978723404
257,6,4,10,0.4,0.6
258,16,5,21,0.23809523809523808,0.7619047619047619
259,8,8,16,0.5,0.5
260,16,5,21,0.23809523809523808,0.7619047619047619
261,16,10,26,0.38461538461538464,0.6153846153846154
262,14,18,32,0.5625,0.4375
263,38,15,53,0.2830188679245283,0.7169811320754716
264,23,29,52,0.5576923076923077,0.4423076923076923
265,34,17,51,0.3333333333333333,0.6666666666666666
266,21,13,34,0.38235294117647056,0.6176470588235294
267,9,11,20,0.55,0.45
268,25,19,44,0.4318181818181818,0.5681818181818182
269,9,13,22,0.5909090909090909,0.4090909090909091
270,25,17,42,0.40476190476190477,0.5952380952380952
271,25,5,30,0.16666666666666666,0.8333333333333334
272,27,9,36,0.25,0.75
273,7,5,12,0.4166666666666667,0.5833333333333334
274,11,5,16,0.3125,0.6875
275,9,12,21,0.5714285714285714,0.42857142857142855
276,16,3,19,0.15789473684210525,0.8421052631578947
277,16,16,32,0.5,0.5
278,19,12,31,0.3870967741935484,0.6129032258064516
279,20,3,23,0.13043478260869565,0.8695652173913043
280,8,12,20,0.6,0.4
281,13,6,19,0.3157894736842105,0.6842105263157895
282,19,14,33,0.42424242424242425,0.5757575757575758
283,10,3,13,0.23076923076923078,0.7692307692307693
284,22,9,31,0.2903225806451613,0.7096774193548387
285,26,8,34,0.23529411764705882,0.7647058823529411
286,18,2,20,0.1,0.9
287,5,7,12,0.5833333333333334,0.4166666666666667
288,42,21,63,0.3333333333333333,0.6666666666666666
289,19,5,24,0.20833333333333334,0.7916666666666666
290,22,24,46,0.5217391304347826,0.4782608695652174
291,12,15,27,0.5555555555555556,0.4444444444444444
292,17,18,35,0.5142857142857142,0.4857142857142857
293,10,7,17,0.4117647058823529,0.5882352941176471
294,20,10,30,0.3333333333333333,0.6666666666666666
295,11,14,25,0.56,0.44
296,27,42,69,0.6086956521739131,0.391304347826087
297,20,10,30,0.3333333333333333,0.6666666666666666
298,21,18,39,0.46153846153846156,0.5384615384615384
299,8,1,9,0.1111111111111111,0.8888888888888888
300,23,16,39,0.41025641025641024,0.5897435897435898
301,11,6,17,0.35294117647058826,0.6470588235294118
302,38,19,57,0.3333333333333333,0.6666666666666666
303,30,7,37,0.1891891891891892,0.8108108108108109
304,29,2,31,0.06451612903225806,0.9354838709677419
305,17,7,24,0.2916666666666667,0.7083333333333334
306,18,17,35,0.4857142857142857,0.5142857142857142
307,9,11,20,0.55,0.45
308,18,14,32,0.4375,0.5625
309,7,5,12,0.4166666666666667,0.5833333333333334
310,17,24,41,0.5853658536585366,0.4146341463414634
311,25,31,56,0.5535714285714286,0.44642857142857145
312,22,7,29,0.2413793103448276,0.7586206896551724
313,7,1,8,0.125,0.875
314,21,11,32,0.34375,0.65625
315,8,17,25,0.68,0.32
316,16,10,26,0.38461538461538464,0.6153846153846154
317,10,5,15,0.3333333333333333,0.6666666666666666
318,15,5,20,0.25,0.75
319,19,7,26,0.2692307692307692,0.7307692307692307
320,18,9,27,0.3333333333333333,0.6666666666666666
321,30,30,60,0.5,0.5
322,8,3,11,0.2727272727272727,0.7272727272727273
323,8,6,14,0.42857142857142855,0.5714285714285714
324,9,2,11,0.18181818181818182,0.8181818181818182
325,16,16,32,0.5,0.5
326,19,8,27,0.2962962962962963,0.7037037037037037
327,33,9,42,0.21428571428571427,0.7857142857142857
328,11,14,25,0.56,0.44
329,15,7,22,0.3181818181818182,0.6818181818181818
330,9,7,16,0.4375,0.5625
331,10,12,22,0.5454545454545454,0.45454545454545453
332,12,12,24,0.5,0.5
333,31,19,50,0.38,0.62
334,7,4,11,0.36363636363636365,0.6363636363636364
335,18,6,24,0.25,0.75
336,21,24,45,0.5333333333333333,0.4666666666666667
337,14,7,21,0.3333333333333333,0.6666666666666666
338,16,26,42,0.6190476190476191,0.38095238095238093
339,11,12,23,0.5217391304347826,0.4782608695652174
340,13,9,22,0.4090909090909091,0.5909090909090909
341,25,23,48,0.4791666666666667,0.5208333333333334
342,28,5,33,0.15151515151515152,0.8484848484848485
343,9,6,15,0.4,0.6
344,12,16,28,0.5714285714285714,0.42857142857142855
345,18,18,36,0.5,0.5
346,18,22,40,0.55,0.45
347,10,7,17,0.4117647058823529,0.5882352941176471
348,13,18,31,0.5806451612903226,0.41935483870967744
349,18,2,20,0.1,0.9
350,14,8,22,0.36363636363636365,0.6363636363636364
351,14,22,36,0.6111111111111112,0.3888888888888889
352,32,23,55,0.41818181818181815,0.5818181818181818
353,14,8,22,0.36363636363636365,0.6363636363636364
354,32,17,49,0.3469387755102041,0.6530612244897959
355,10,7,17,0.4117647058823529,0.5882352941176471
356,15,27,42,0.6428571428571429,0.35714285714285715
357,15,10,25,0.4,0.6
358,10,16,26,0.6153846153846154,0.38461538461538464
359,13,6,19,0.3157894736842105,0.6842105263157895
360,3,8,11,0.7272727272727273,0.2727272727272727
361,15,11,26,0.4230769230769231,0.5769230769230769
362,12,8,20,0.4,0.6
363,35,13,48,0.2708333333333333,0.7291666666666666
364,14,3,17,0.17647058823529413,0.8235294117647058
365,16,7,23,0.30434782608695654,0.6956521739130435
366,27,15,42,0.35714285714285715,0.6428571428571429
367,9,6,15,0.4,0.6
368,36,25,61,0.4098360655737705,0.5901639344262295
369,15,9,24,0.375,0.625
370,6,9,15,0.6,0.4
371,25,7,32,0.21875,0.78125
372,15,7,22,0.3181818181818182,0.6818181818181818
373,11,6,17,0.35294117647058826,0.6470588235294118
374,11,16,27,0.5925925925925926,0.4074074074074074
375,35,15,50,0.3,0.7
376,8,5,13,0.38461538461538464,0.6153846153846154
377,5,4,9,0.4444444444444444,0.5555555555555556
378,5,9,14,0.6428571428571429,0.35714285714285715
379,37,17,54,0.3148148148148148,0.6851851851851852
380,10,4,14,0.2857142857142857,0.7142857142857143
381,14,9,23,0.391304347826087,0.6086956521739131
382,33,15,48,0.3125,0.6875
383,13,22,35,0.6285714285714286,0.37142857142857144
384,11,8,19,0.42105263157894735,0.5789473684210527
385,6,7,13,0.5384615384615384,0.46153846153846156
386,11,7,18,0.3888888888888889,0.6111111111111112
387,26,22,48,0.4583333333333333,0.5416666666666666
388,24,24,48,0.5,0.5
389,15,14,29,0.4827586206896552,0.5172413793103449
390,20,4,24,0.16666666666666666,0.8333333333333334
391,25,15,40,0.375,0.625
392,10,19,29,0.6551724137931034,0.3448275862068966
393,15,12,27,0.4444444444444444,0.5555555555555556
394,29,9,38,0.23684210526315788,0.7631578947368421
395,10,8,18,0.4444444444444444,0.5555555555555556
396,27,8,35,0.22857142857142856,0.7714285714285715
397,16,4,20,0.2,0.8
398,12,11,23,0.4782608695652174,0.5217391304347826
399,25,11,36,0.3055555555555556,0.6944444444444444
400,19,11,30,0.36666666666666664,0.6333333333333333
401,35,26,61,0.4262295081967213,0.5737704918032787
402,11,7,18,0.3888888888888889,0.6111111111111112
403,9,3,12,0.25,0.75
404,10,9,19,0.47368421052631576,0.5263157894736842
405,33,12,45,0.26666666666666666,0.7333333333333333
406,10,7,17,0.4117647058823529,0.5882352941176471
407,33,12,45,0.26666666666666666,0.7333333333333333
408,13,16,29,0.5517241379310345,0.4482758620689655
409,12,4,16,0.25,0.75
410,24,17,41,0.4146341463414634,0.5853658536585366
411,12,2,14,0.14285714285714285,0.8571428571428571
412,12,10,22,0.45454545454545453,0.5454545454545454
413,23,9,32,0.28125,0.71875
414,4,7,11,0.6363636363636364,0.36363636363636365
415,14,11,25,0.44,0.56
416,9,1,10,0.1,0.9
417,13,4,17,0.23529411764705882,0.7647058823529411
418,15,19,34,0.5588235294117647,0.4411764705882353
419,11,0,11,0.0,1.0
420,25,4,29,0.13793103448275862,0.8620689655172413
421,4,4,8,0.5,0.5
422,12,9,21,0.42857142857142855,0.5714285714285714
423,31,9,40,0.225,0.775
424,11,11,22,0.5,0.5
425,12,20,32,0.625,0.375
426,65,20,85,0.23529411764705882,0.7647058823529411
427,9,9,18,0.5,0.5
428,24,15,39,0.38461538461538464,0.6153846153846154
429,25,8,33,0.24242424242424243,0.7575757575757576
430,15,2,17,0.11764705882352941,0.8823529411764706
431,15,8,23,0.34782608695652173,0.6521739130434783
432,4,4,8,0.5,0.5
433,8,9,17,0.5294117647058824,0.47058823529411764
434,12,12,24,0.5,0.5
435,13,6,19,0.3157894736842105,0.6842105263157895
436,23,20,43,0.46511627906976744,0.5348837209302325
437,18,7,25,0.28,0.72
438,14,8,22,0.36363636363636365,0.6363636363636364
439,17,4,21,0.19047619047619047,0.8095238095238095
440,23,15,38,0.39473684210526316,0.6052631578947368
441,21,3,24,0.125,0.875
442,20,11,31,0.3548387096774194,0.6451612903225806
443,13,6,19,0.3157894736842105,0.6842105263157895
444,18,6,24,0.25,0.75
445,5,2,7,0.2857142857142857,0.7142857142857143
446,6,10,16,0.625,0.375
447,15,7,22,0.3181818181818182,0.6818181818181818
448,10,9,19,0.47368421052631576,0.5263157894736842
449,5,7,12,0.5833333333333334,0.4166666666666667
450,8,0,8,0.0,1.0
451,25,14,39,0.358974358974359,0.6410256410256411
452,10,2,12,0.16666666666666666,0.8333333333333334
453,12,8,20,0.4,0.6
454,19,5,24,0.20833333333333334,0.7916666666666666
455,27,15,42,0.35714285714285715,0.6428571428571429
456,11,5,16,0.3125,0.6875
457,9,3,12,0.25,0.75
458,26,11,37,0.2972972972972973,0.7027027027027027
459,19,3,22,0.13636363636363635,0.8636363636363636
460,23,9,32,0.28125,0.71875
461,11,5,16,0.3125,0.6875
462,18,11,29,0.3793103448275862,0.6206896551724138
463,9,6,15,0.4,0.6
464,14,5,19,0.2631578947368421,0.7368421052631579
465,21,8,29,0.27586206896551724,0.7241379310344828
466,22,18,40,0.45,0.55
467,5,9,14,0.6428571428571429,0.35714285714285715
468,16,12,28,0.42857142857142855,0.5714285714285714
469,23,8,31,0.25806451612903225,0.7419354838709677
470,16,8,24,0.3333333333333333,0.6666666666666666
471,12,12,24,0.5,0.5
472,9,11,20,0.55,0.45
473,23,7,30,0.23333333333333334,0.7666666666666667
474,4,3,7,0.42857142857142855,0.5714285714285714
475,16,9,25,0.36,0.64
476,26,11,37,0.2972972972972973,0.7027027027027027
477,7,5,12,0.4166666666666667,0.5833333333333334
478,11,7,18,0.3888888888888889,0.6111111111111112
479,24,12,36,0.3333333333333333,0.6666666666666666
480,7,7,14,0.5,0.5
481,5,2,7,0.2857142857142857,0.7142857142857143
482,6,10,16,0.625,0.375
483,15,13,28,0.4642857142857143,0.5357142857142857
484,19,16,35,0.45714285714285713,0.5428571428571428
485,13,7,20,0.35,0.65
486,37,13,50,0.26,0.74
487,16,9,25,0.36,0.64
488,8,3,11,0.2727272727272727,0.7272727272727273
489,19,8,27,0.2962962962962963,0.7037037037037037
490,17,11,28,0.39285714285714285,0.6071428571428571
491,8,8,16,0.5,0.5
492,11,13,24,0.5416666666666666,0.4583333333333333
493,16,25,41,0.6097560975609756,0.3902439024390244
494,19,9,28,0.32142857142857145,0.6785714285714286
495,17,16,33,0.48484848484848486,0.5151515151515151
496,12,3,15,0.2,0.8
497,11,8,19,0.42105263157894735,0.5789473684210527
498,16,8,24,0.3333333333333333,0.6666666666666666
499,13,5,18,0.2777777777777778,0.7222222222222222
