predictor,level,arm,epoch,AURC,K,KL,M,MAE,REL,REL_debiased,RES,SHARP,SHARP_star,UNC,UNC_debiased,VAR_debiased,acc@0.25,acc@0.5,acc@0.75,bias,brier_debiased,brier_debiased_se,brier_raw,decomp_gap,f1@0.25,f1@0.5,f1@0.75,log_score,log_score_climatology,log_score_oracle,mean_p_invalid,n_bins_used,n_points,prec@0.25,prec@0.5,prec@0.75,rec@0.25,rec@0.5,rec@0.75,risk@0.2,risk@0.5,risk@0.8,risk@1,roa_frac_pred@0.25,roa_frac_pred@0.5,roa_frac_pred@0.75,roa_frac_true@0.25,roa_frac_true@0.5,roa_frac_true@0.75,run_dir,sAUROC,skill_score,train_trajectories
clf,corridor_sine_ambient_f_0.30,clf_dir00,0,0.014457002216256159,1.0,0.17795979429530692,50.0,0.10826787340224672,0.0008279272547083457,0.0008279272547083457,0.046819621043634796,0.054960075185905746,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.8864242424242424,0.9061,0.9223242424242424,-0.019849220390861667,0.048824859544033636,0.00014308445540132654,0.049334481057123715,-0.000796087469611885,0.6428730236369528,0.5843219145311375,0.5088491336088242,0.2555088948723103,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.6959359097785724,0.7874040419865267,0.8230201855333568,0.5973286272472939,0.46451677117547524,0.368269728570372,0.0016597527132001238,0.009781963408261594,0.02753717740667918,0.04882485954403518,0.1468888888888889,0.08381717171717172,0.04888989898989899,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.8972706324155089,0.4893472334390305,10000
clf,corridor_sine_ambient_f_0.30,clf_dir00,1,0.011344246130633433,1.0,0.16040623865689885,50.0,0.0945445247614463,0.0011554764414876857,0.0011554764414876857,0.05285205029024993,0.047265427286111925,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.898889898989899,0.9153323232323233,0.9296848484848484,-0.022690654858447522,0.04312275119617818,0.00013623304481931312,0.04363237270926825,-0.0007933157576315505,0.679651421421005,0.6335197338218513,0.5727752546949797,0.2379553392335127,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.7423292296721965,0.8227138006609055,0.8519681589133133,0.6267337952852573,0.5150720186551778,0.43140300273648396,0.0012344455358468326,0.005907471108301744,0.02266456447928655,0.043122751196181815,0.14448787878787878,0.08895050505050504,0.05532525252525253,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9158465590578011,0.548984832609935,15000
clf,corridor_sine_ambient_f_0.30,clf_dir00,2,0.011022826010523533,1.0,0.15495158030152206,50.0,0.0937742314086851,0.001677078541011499,0.001677078541011499,0.054169646250524964,0.04784427803382445,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9034959595959596,0.9158727272727273,0.929030303030303,-0.028776884122060194,0.04230950663652866,0.00013572264501993478,0.04281912814961876,-0.0008105664565298265,0.6830317004794054,0.6223028434084622,0.5518904025715599,0.23250068087824569,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.779898324860405,0.8592395932475079,0.8898075024679171,0.6075690862087283,0.4877930867778584,0.39998890614599514,0.0011143892713631931,0.005613840167389182,0.022078827949492136,0.04230950663653117,0.13332222222222223,0.08065858585858586,0.049115151515151514,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9189379983369017,0.5574904502021607,20000
clf,corridor_sine_ambient_f_0.30,clf_dir00,3,0.009902695090821676,1.0,0.14451130422830388,50.0,0.09217658362754097,0.001150155862995486,0.001150155862995486,0.05597301128317492,0.049948613272668474,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.905860606060606,0.9186,0.930379797979798,-0.02369343159902805,0.0399690672331687,0.00012915494051841947,0.04047868874625876,-0.0008207181492238605,0.7001196972817133,0.6422597485616875,0.5638935992508416,0.22206040480506614,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.7696274706772874,0.8550102829586554,0.8934156708637421,0.6421269462774308,0.5142899799513714,0.4119517787145921,0.0006650015727939262,0.004462521076835501,0.02020382958728179,0.039969067233172464,0.1427858585858586,0.08546060606060606,0.05037979797979798,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.925210794183398,0.5819687972461742,25000
clf,corridor_sine_ambient_f_0.30,clf_dir00,4,0.010142539386557105,1.0,0.14794452137237804,50.0,0.09128842667649055,0.002428875680944036,0.002428875680944036,0.05629041603888718,0.047029190154426644,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9078616161616162,0.9168353535353535,0.9294636363636364,-0.032360633270545454,0.040959741428701645,0.000133722403408655,0.04146936294179169,-0.0007913590159272163,0.6921101041297486,0.6217826512377864,0.5472780669964407,0.22549362194912673,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8083002861895789,0.8785911799452154,0.9159921005230148,0.6051255415343572,0.481145757795504,0.39020782486502475,0.0007924316061500233,0.0046730003973772215,0.02043700653228808,0.04095974142870308,0.12812020202020202,0.07780707070707071,0.046544444444444444,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9255653017595502,0.5716074664930726,30000
clf,corridor_sine_ambient_f_0.30,clf_dir00,5,0.008202050330710212,1.0,0.13037031931075876,50.0,0.08577493346629002,0.0009100049998262866,0.0009100049998262866,0.05956161921361561,0.04800164769509248,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9128888888888889,0.9243787878787879,0.9360808080808081,-0.0190864723018478,0.03614532661546468,0.00012171192478712324,0.03665494812855478,-0.0008156999733179501,0.7243178272766796,0.6782062248279596,0.6194691329813463,0.20791941988740278,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.7900528598725226,0.8576056353338913,0.8861266902935003,0.6686813121952947,0.5608781583699469,0.47617594852451745,0.0002856675131261766,0.003093489917135644,0.016848832312435807,0.036145326615466516,0.14484646464646464,0.09292020202020201,0.058713131313131314,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9348007926969105,0.6219607960614728,35000
clf,corridor_sine_ambient_f_0.30,clf_dir00,6,0.008126815410227377,1.0,0.1293961196438373,50.0,0.0858231821333853,0.0012540260196296643,0.0012540260196296643,0.059987971537076766,0.04841738809667546,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9141515151515152,0.9239868686868686,0.9344858585858585,-0.022661016499208864,0.03607693844869052,0.00012136906662966439,0.03658655996178057,-0.0008017568364343808,0.7255093208624543,0.67058303384214,0.5990492263372958,0.20694522022048173,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8011226658678193,0.8725294754229083,0.9040395559287246,0.6629383919823404,0.544547768345917,0.44793284520375715,0.00031936041638430944,0.002960250368699226,0.0167242725048257,0.03607693844869207,0.1416181818181818,0.08867171717171717,0.054136363636363635,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9361407415919003,0.6226760588781893,40000
clf,corridor_sine_ambient_f_0.30,clf_dir00,7,0.0076304582172411275,1.0,0.12700916430694675,50.0,0.08116595492111278,0.0016381577133047155,0.0016381577133047155,0.061614415969656375,0.0442257327564173,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9167838383838384,0.9263595959595959,0.9373313131313131,-0.025835195450591958,0.03486426368048398,0.00012090818453995375,0.03537388519357407,-0.0007721188657363251,0.7307694821534781,0.682158240761732,0.6221927217810689,0.20455826488343026,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8186670767067921,0.8818675744527358,0.911486582928918,0.6599164236893983,0.5562001450326324,0.47229309962280897,0.00018653960493236695,0.0026187720187618255,0.015762636344769678,0.034864263680486944,0.13795151515151516,0.08961010101010101,0.056614141414141415,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9394897590112778,0.6353592643416861,45000
clf,corridor_sine_ambient_f_0.30,clf_dir00,8,0.007803473084335672,1.0,0.12799659406521915,50.0,0.08275396872032147,0.0021053260989511015,0.0021053260989511015,0.06136443609176284,0.04517946611021295,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9167747474747475,0.9244989898989899,0.9356181818181818,-0.028082438698401824,0.03559131877638253,0.00012252649746549043,0.036100940289472624,-0.0007622120333776877,0.7266604961002684,0.6678162247682367,0.603786955764975,0.20554569464178912,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.829657967501231,0.8906776044383328,0.9215370018975332,0.6464120028803135,0.5341608724708158,0.44897751645588346,0.00023535929057017492,0.0026646421648651632,0.015965243908221256,0.03559131877638511,0.13333838383838384,0.0852080808080808,0.053232323232323235,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9390693238683331,0.627755090983481,50000
clf,corridor_sine_ambient_f_0.30,clf_dir00,9,0.00725144788228372,1.0,0.12003618025915282,50.0,0.0839834825209144,0.0006388682421027584,0.0006388682421027584,0.061978453771677294,0.05044421988488507,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9166484848484848,0.9278181818181818,0.9377454545454545,-0.01572875993437864,0.03348249871397307,0.00011370362336430293,0.03399212022706311,-0.000790556559024401,0.7408761186999528,0.6961476316013266,0.6285886464987345,0.19758528083583435,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.7915906162765729,0.866041768053998,0.9027556601814027,0.6962685774320352,0.5819789844871959,0.4821573848088159,0.00021949564535300872,0.002521296771174588,0.014785002604254792,0.0334824987139756,0.15052929292929293,0.09547676767676767,0.058355555555555556,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9407413997661145,0.6498109618882907,55000
clf,corridor_sine_ambient_f_0.30,clf_dir00,10,0.007358081121841542,1.0,0.1219755223299127,50.0,0.08247821173218556,0.0016045553528206372,0.0016045553528206372,0.062469985198670336,0.047567123439119494,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9191515151515152,0.9268333333333333,0.9361555555555555,-0.023956313091029535,0.03400349903171954,0.0001172754808216852,0.03451312054480963,-0.0007437119250027213,0.7390504880577453,0.6829131628137052,0.6081706031864113,0.1995246229065346,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8255134741442097,0.8885977603353801,0.9230363930601031,0.6689823285682245,0.5545507543118771,0.4534797722061978,0.00021228516897529366,0.002495669623955573,0.01500930678786782,0.03400349903172221,0.1386868686868687,0.08866767676767677,0.05367878787878788,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9414235526495556,0.6443618882786382,60000
clf,corridor_sine_ambient_f_0.30,clf_dir00,11,0.006927705802784112,1.0,0.11723209105246861,50.0,0.08143001967940551,0.0007970006394819078,0.0007970006394819078,0.0630283667899667,0.04861772502941979,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9193151515151515,0.929769696969697,0.9394323232323233,-0.01667771950314112,0.032615963808415395,0.00011349178228736618,0.033125585321505474,-0.0007653108436717834,0.7463787902841722,0.704523433117446,0.6425684617127053,0.19478119162912141,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8076743355047965,0.8757527733755943,0.9044806175532808,0.6937305962485096,0.5893017105319285,0.4982804526292434,0.0001435902709707281,0.002308198541165967,0.014127363589417003,0.0326159638084176,0.1469939393939394,0.09560606060606061,0.06019191919191919,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9428357526141119,0.658873936180016,65000
clf,corridor_sine_ambient_f_0.30,clf_dir00,12,0.00589263314617325,1.0,0.10955194912902581,50.0,0.07651354459769968,0.0005553751312154737,0.0005553751312154737,0.06490954928258037,0.04585071896884623,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.9208060606060606,0.9326818181818182,0.9437464646464646,-0.013669932315427272,0.030476272915217147,0.0001079135325698258,0.030985894428307237,-0.0007821937359899223,0.7565880979583727,0.7241937286094431,0.6801922602059275,0.1871010497054476,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.7981070282308247,0.8664771883262856,0.8977277894832578,0.7191753331838089,0.6220478038931309,0.5475186746542415,4.8199500426836834e-05,0.0014468387952764927,0.011967107213899403,0.0304762729152193,0.15421212121212122,0.1019989898989899,0.06663737373737373,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9483567195962375,0.6812526810325552,70000
clf,corridor_sine_ambient_f_0.30,clf_dir00,13,0.0059851951322051735,1.0,0.10969745623374061,50.0,0.07743967349642415,0.0005709870832709686,0.0005709870832709686,0.0648010837735575,0.04704276522376759,0.025481075654504238,0.09612226231566205,0.09561264080257197,0.09561264080257202,0.921030303030303,0.9326363636363636,0.942679797979798,-0.014262474539467423,0.030581709246921232,0.00010770780582227388,0.031091330760011318,-0.0008008348653641972,0.7566987209410886,0.7229745447294963,0.6701695447227243,0.18724655681022842,0.4067109967144386,0.0783713481130283,0.0,20,990000,0.8003410048451653,0.8695517496352845,0.9024749142937649,0.7175699125281834,0.6186850374667634,0.5329764810295097,8.391901684632381e-05,0.0015732372907872763,0.012054057698992371,0.03058170924692307,0.15343838383838385,0.1010888888888889,0.06452626262626263,0.17113737373737373,0.1420787878787879,0.10926060606060606,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q3d_cs030_clf_dir00,0.9480855861269893,0.6801499363450427,75000
