predictor,level,arm,epoch,train_trajectories,AURC,K,KL,M,MAE,REL,REL_debiased,RES,SHARP,SHARP_star,UNC,UNC_debiased,VAR_debiased,acc@0.25,acc@0.5,acc@0.75,bias,brier_debiased,brier_debiased_se,brier_raw,decomp_gap,f1@0.25,f1@0.5,f1@0.75,log_score,log_score_climatology,log_score_oracle,mean_p_invalid,n_bins_used,n_points,prec@0.25,prec@0.5,prec@0.75,rec@0.25,rec@0.5,rec@0.75,risk@0.2,risk@0.5,risk@0.8,risk@1,roa_frac_pred@0.25,roa_frac_pred@0.5,roa_frac_pred@0.75,roa_frac_true@0.25,roa_frac_true@0.5,roa_frac_true@0.75,run_dir,sAUROC,skill_score
clf,corridor_sine_ambient_smooth,clf_dir00,0,2000,0.0023244466669511007,1.0,0.11760459621130905,50.0,0.0468485633418737,0.007758259871142301,0.007758259871142301,0.022390076971629053,0.012294122071714144,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9448445045634644,0.9492089230891079,0.9587735442038062,-0.03790613957193558,0.02705632632664101,0.00016922567924997482,0.02732684425541932,-0.0006484414334714909,0.47896197995628975,0.30570671529103394,0.13352023830383739,0.15945756579846912,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8379030035822541,0.8664405684754521,0.8668941979522184,0.3353182808149312,0.18559518455737364,0.07233032747982913,1.9396240943511357e-05,8.446551283185645e-05,0.0014153849745290761,0.02705632632664123,0.030254966245578784,0.012905673118808476,0.0036641106819872904,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9624423573663704,0.36092326729402513
clf,corridor_sine_ambient_smooth,clf_dir00,1,2500,0.0021475447533519836,1.0,0.111127077043978,50.0,0.045670132141218706,0.007659428071547754,0.007659428071547754,0.023178019465106784,0.012686032524542827,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.946845384116768,0.9507012457559468,0.959200815358418,-0.037263520269199414,0.025746953275127327,0.00016275673863585434,0.026017471203905632,-0.001071040191912901,0.5035912408759124,0.32916418503077227,0.14118369674900189,0.1529800466311338,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.856575288041319,0.9135705289672544,0.9338363319791062,0.35662889752708626,0.20074722385581348,0.07636449928808733,2.3530702827672858e-05,4.217831384704872e-05,0.0013095073071910219,0.02574695327512737,0.03147633647290788,0.013239153044359082,0.003591161948273095,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9652056246800944,0.3918509638908345
clf,corridor_sine_ambient_smooth,clf_dir00,2,3000,0.002123093995957482,1.0,0.10143389662119015,50.0,0.04466167115992417,0.0058113774074970365,0.0058113774074970365,0.02303527173547134,0.014404712297755466,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9486691024596229,0.9524874476071773,0.9595947385204746,-0.03315249106207143,0.024191067393082712,0.0001551240307032512,0.024461585321861,-0.0009216231395422596,0.5506823323359847,0.3894364688236554,0.16533195556703695,0.1432868662083677,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8140676411888451,0.862498517024558,0.8905380333951762,0.416067047114934,0.25149617739647834,0.09112482202183199,1.9642947524523333e-05,0.00011401245717484208,0.0014658762193346497,0.02419106739308309,0.03863990212364185,0.017568139327912895,0.004493641996794424,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9640345906049542,0.4286013509890769
clf,corridor_sine_ambient_smooth,clf_dir00,3,3500,0.001886990292513019,1.0,0.08987717486005818,50.0,0.04322582856818117,0.004937397605253811,0.004937397605253811,0.023852346306310522,0.015426880942507867,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9507054142550163,0.9540068655179673,0.9611641784200972,-0.030298080930656387,0.022512259372614064,0.000146063842029261,0.02278277730139236,-0.0009093767869284945,0.5814204555510327,0.4260410435144485,0.22854303813190907,0.1317301444472531,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8119624320316362,0.8584905660377359,0.8952319169639961,0.4528437129545392,0.2833223786626077,0.13099193165638348,1.9642947518268954e-05,9.939040798247897e-05,0.0010727839858017294,0.022512259372614373,0.04216436808680483,0.01988374056095492,0.006425741315453252,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9671445733119176,0.4682551876411457
clf,corridor_sine_ambient_smooth,clf_dir00,4,4000,0.0019302570390400192,1.0,0.09541774844886497,50.0,0.04404492369808629,0.0065471146268325075,0.0065471146268325075,0.02427782476303272,0.014328922800400472,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9496090989997686,0.9524415941174141,0.9598156689711519,-0.03398866925214023,0.023513705340709266,0.00015008981681277546,0.023784223269487557,-0.0010921693836897922,0.5531962077950878,0.3753969122960692,0.16261292564280752,0.13727071803603944,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8390514631685166,0.8992786885245901,0.9580348004094166,0.41262095773715984,0.23720898052374859,0.08884670147128619,2.3879494897412357e-05,0.00014688398656158904,0.0010397181067181595,0.023513705340709644,0.03717884319982326,0.015892402702021097,0.004072623590786783,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9677005526522514,0.44460080051018924
clf,corridor_sine_ambient_smooth,clf_dir00,5,4500,0.001992385229612125,1.0,0.10423267253177201,50.0,0.045073430501088876,0.008466511950444223,0.008466511950444223,0.02461838994150062,0.012332278774201951,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9468057833756088,0.9506366340203715,0.959740635987903,-0.037452609900078274,0.02540844512802459,0.00016061511507882282,0.025678963056802877,-0.0007762617415182881,0.49801345344400294,0.33069575538348506,0.16301239275500476,0.14608564211891775,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8689683574713433,0.9030714616453156,0.9367529880478087,0.34901993218096106,0.20240772131317675,0.08927384907451352,2.0383067247924922e-05,0.00015972293735568892,0.0010107187131010167,0.025408445128024655,0.030365431470917425,0.013503852735264877,0.004185173065660113,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9684206356626449,0.3998466052071413
clf,corridor_sine_ambient_smooth,clf_dir00,6,5000,0.0018800360071028162,1.0,0.09803260031626994,50.0,0.043651167341659254,0.0074598159828299015,0.0074598159828299015,0.025162237333381382,0.0128483399821702,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9490442673758673,0.9520935244451206,0.9604034273399349,-0.03512736187802881,0.02416733478515083,0.00015533537030185772,0.024437852713929127,-0.0004668287248969574,0.5365483773127085,0.37399569681618866,0.20055546204342706,0.1398855699034115,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8587899751198496,0.8791293213828425,0.884558277654046,0.39015245499407275,0.2375203237970042,0.11309919316563835,1.9642947530846234e-05,0.000133228354492129,0.0009750625173249937,0.024167334785150974,0.03434634808217779,0.016277988865938987,0.005614968246458339,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9697402053481151,0.4291619207187807
clf,corridor_sine_ambient_smooth,clf_dir00,7,5500,0.0017589923205318832,1.0,0.09610475176917668,50.0,0.04289603965788297,0.008210621726405465,0.008210621726405465,0.026063578701806717,0.012509267814284901,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9503719343294657,0.9528459385271443,0.9602908778650615,-0.03604223564053878,0.023668507494773904,0.00015355078561112435,0.023939025423552206,-0.0008151203904241053,0.5431767166126278,0.3783249065728731,0.18830947511929105,0.1379577213563025,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8931230283911672,0.9197060788243153,0.9200666111573689,0.3902627298541615,0.2381430103435154,0.10488846701471286,1.9702497393436374e-05,6.633174050535566e-05,0.0007118629074780879,0.023668507494774133,0.03303535512485697,0.015600607767164315,0.005006367382328482,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9724945365401757,0.44094433755800855
clf,corridor_sine_ambient_smooth,clf_dir00,8,6000,0.0015753587285883346,1.0,0.08665806142068982,50.0,0.04084766473521378,0.006547074879779059,0.006547074879779059,0.026760769191985546,0.013096042401038501,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9530251839871277,0.9555158621810838,0.9622063031874428,-0.03231010975314245,0.021839843656964706,0.00014518026505306033,0.02211036158574301,-0.0002830468914280654,0.5871707513646188,0.44657072475042137,0.27220549869556493,0.12851103100782293,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.8748430762512963,0.8915924622074963,0.881924577373212,0.44187136437570645,0.29788632511156465,0.16093972472710014,1.4861944277457857e-05,3.591367127460186e-05,0.0005434944144267712,0.021839843656964817,0.03818553572507915,0.02012968200604849,0.008013939460888015,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9741927814395428,0.48413780353620206
clf,corridor_sine_ambient_smooth,clf_dir00,9,6500,0.0016079235426184877,1.0,0.09192573138498299,50.0,0.04185179858477522,0.0080938521102115,0.0080938521102115,0.027065975892806172,0.012377454692548936,0.01352589643891505,0.042607102789377564,0.04233658486059926,0.042336584860599255,0.9520455867058227,0.9539255797861144,0.961043291947085,-0.03520862484766406,0.022889503836839877,0.00015007415624194098,0.02316002176561818,-0.00047495724116471474,0.5645887740812233,0.4034756327918398,0.21870166785102205,0.13377870097209899,0.22528469017533734,0.04274703240871915,0.0,20,479789,0.9002957329953528,0.917188075082812,0.9169295478443743,0.4112425219860502,0.25862247898432905,0.12415757000474609,1.5117157974270271e-05,3.3541885386192974e-05,0.0004825726947350846,0.02288950383684029,0.034533930540300004,0.016988717957268716,0.005946363922474255,0.07560198337185721,0.06024940129932116,0.04391513769594551,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_clf_dir00,0.9749889384938583,0.4593445854877609
